station_id,lon,lat,true,pred,error,variance
57666,112.17,28.51,39.8609,39.180638331161624,-0.6802616688383765,42.8313040525717
57640,109.46,28.54,44.5014,44.65553964481443,0.15413964481443543,43.79459564694308
57674,112.37,28.55,40.2396,40.07494364369152,-0.16465635630848396,42.63912100970618
57642,109.65,28.68,51.5166,44.770400744346794,-6.746199255653202,43.94022685812123
57646,109.98,28.68,41.8818,44.31070258984525,2.4289025898452508,43.94572938205018
57682,113.57,28.71,46.7449,41.85563592452141,-4.889264075478593,43.692276132958725
57673,112.93,28.73,45.5784,44.482831634074174,-1.0955683659258284,43.55413812175366
57671,112.37,28.8,47.6817,39.29945277776415,-8.382247222235847,43.499313110471405
57680,113.11,28.86,45.3794,44.696767870628925,-0.682632129371072,43.749323081409415
57661,111.48,28.91,51.0266,44.76783748238962,-6.2587625176103785,44.433158410806264
57663,111.96,28.92,47.2782,43.124321018473346,-4.153878981526653,44.29905315760283
57643,109.84,29.01,46.1085,41.63569956422722,-4.472800435772783,43.818150095708525
57558,110.42,29.12,52.8881,43.82878171259422,-9.05931828740578,42.577301886150465
57662,111.68,29.12,47.3629,44.285723724701135,-3.077176275298868,43.9012110646067
57587,113.11,29.19,39.0776,42.809422919148375,3.731822919148378,43.95617960656045
57574,112.43,29.35,60.1432,44.03535689919844,-16.10784310080156,43.0011787379183
57584,113.09,29.38,47.0123,39.84416986528099,-7.168130134719014,43.691196605523466
57554,110.16,29.4,37.4333,42.504481738348076,5.0711817383480735,42.81390624448767
57577,112.2,29.41,48.425,45.54905584301113,-2.875944156988865,44.06709496098392
57564,111.09,29.43,53.4638,44.518382441693795,-8.945417558306204,44.735593040156886
57544,109.44,29.46,42.104,40.56479363613451,-1.539206363865489,43.832917602218586
57566,111.67,29.47,46.4265,45.59369597692639,-0.8328040230736065,44.161843345996196
57585,113.45,29.48,57.9879,40.76309861940767,-17.224801380592332,43.058620816299005
57575,112.6,29.54,49.2944,43.83959207247156,-5.454807927528442,43.459088400080894
57562,111.36,29.58,45.5692,45.30701650894718,-0.26218349105282357,44.76841441200716
57565,111.73,29.67,42.3446,44.622349004864006,2.277749004864006,44.301468682260634
