id,Station_Id_C,Datetime,Lat,Lon,Alti,City,Station_Name,Cnty,VAP,RHU,PRS,TEM,PWV,dataset
127,P8322,2025-06-03 01:00:00,25.77,112.8,217.6,郴州市,全义,桂阳县,21.15,81.0,984.5,21.8,40.0551,train
128,P8604,2025-06-03 01:00:00,25.77,113.31,395.0,郴州市,青草,资兴市,22.95,89.0,965.3,21.6,56.7746,train
129,P7881,2025-06-03 01:00:00,25.78,111.44,335.0,永州市,上坝水库,道县,21.27,84.0,968.8,21.3,41.5336,train
130,P8314,2025-06-03 01:00:00,25.78,112.5,145.0,郴州市,飞仙,桂阳县,22.34,83.0,991.9,22.3,42.5984,test
131,P8397,2025-06-03 01:00:00,25.78,112.92,284.0,郴州市,茶场,北湖区,23.22,94.0,976.0,20.9,49.9521,train
132,P8437,2025-06-03 01:00:00,25.78,113.06,192.0,郴州市,王仙岭,苏仙区,22.19,85.0,985.9,21.8,55.9375,train
133,P8259,2025-06-03 01:00:00,25.79,113.12,173.0,郴州市,观山洞,苏仙区,22.51,90.0,987.6,21.1,50.1073,train
134,P7850,2025-06-03 01:00:00,25.81,112.12,497.1,永州市,龙家大院,新田县,23.04,91.0,952.2,21.3,46.2859,train
135,P7837,2025-06-03 01:00:00,25.81,112.28,155.2,永州市,祖亭下,新田县,20.87,78.0,989.0,22.2,42.8479,test
136,P7841,2025-06-03 01:00:00,25.81,112.33,163.0,永州市,程家,新田县,20.75,79.0,987.6,21.9,43.3097,train
137,P8440,2025-06-03 01:00:00,25.81,113.04,184.0,郴州市,苏仙岭,苏仙区,21.67,82.0,985.8,22.0,54.3322,train
138,P8411,2025-06-03 01:00:00,25.82,112.75,215.4,郴州市,樟市,桂阳县,21.66,80.0,983.3,22.4,37.0614,train
139,P8439,2025-06-03 01:00:00,25.82,113.1,202.0,郴州市,香山坪,苏仙区,22.71,87.0,985.8,21.8,58.5455,train
140,P7779,2025-06-03 01:00:00,25.83,111.99,247.4,永州市,柏家坪,宁远县,20.23,77.0,979.0,21.9,48.5293,test
141,P8435,2025-06-03 01:00:00,25.84,113.17,185.0,郴州市,望仙,苏仙区,23.51,100.0,988.1,20.1,51.6839,train
142,P7862,2025-06-03 01:00:00,25.86,112.21,200.0,永州市,五柳塘,新田县,21.15,82.0,984.6,21.6,43.3597,train
143,P7730,2025-06-03 01:00:00,25.87,111.72,610.0,永州市,上梧江,双牌县,19.99,100.0,940.4,17.5,59.1063,train
144,P8527,2025-06-03 01:00:00,25.89,113.38,353.9,郴州市,白廊,资兴市,19.76,79.0,969.3,21.1,40.0891,train
145,57971,2025-06-03 01:00:00,25.91,112.21,227.4,永州市,新田,新田县,22.74,85.0,983.1,22.2,51.6,test
146,YZXT,2025-06-03 01:00:00,25.91,112.21,212.32,永州市,中山街道,新田县,,999999.0,988.5189,23.9444,51.1193,train
147,P8246,2025-06-03 01:00:00,25.91,113.13,118.0,郴州市,飞天山,苏仙区,21.66,80.0,993.2,22.4,42.2259,train
148,P8540,2025-06-03 01:00:00,25.92,113.7,786.3,郴州市,青山,桂东县,20.89,80.0,920.7,21.8,37.9511,train
149,P7725,2025-06-03 01:00:00,25.93,111.73,157.7,永州市,塘底,双牌县,25.79,100.0,989.4,21.6,51.2516,train
150,P8545,2025-06-03 01:00:00,25.93,113.87,850.0,郴州市,大塘,桂东县,23.77,98.0,913.2,20.6,42.9393,test
151,P7803,2025-06-03 01:00:00,25.94,111.95,367.0,永州市,刘家坪,宁远县,22.76,91.0,971.1,21.1,45.8741,train
152,P8317,2025-06-03 01:00:00,25.94,112.62,245.0,郴州市,湘山,桂阳县,21.54,82.0,980.2,21.9,40.1931,train
153,P8551,2025-06-03 01:00:00,25.94,113.95,774.6,郴州市,新坊,桂东县,21.8,84.0,922.1,21.7,37.137,train
154,57962,2025-06-03 01:00:00,25.96,111.65,206.7,永州市,双牌,双牌县,24.91,99.0,985.3,21.2,51.7,train
155,P7745,2025-06-03 01:00:00,25.96,111.87,377.0,永州市,黄江源,双牌县,20.89,82.0,964.7,21.4,30.7213,test
156,P8413,2025-06-03 01:00:00,25.97,112.81,259.5,郴州市,洋市,桂阳县,21.54,83.0,978.4,21.7,42.1053,train
157,P8392,2025-06-03 01:00:00,25.97,113.05,161.0,郴州市,五里牌,苏仙区,20.58,76.0,989.7,22.4,26.7492,train
158,57981,2025-06-03 01:00:00,25.97,113.22,142.2,郴州市,资兴,资兴市,23.27,87.0,992.0,22.2,54.6,train
159,CZZX,2025-06-03 01:00:00,25.97,113.22,130.28,郴州市,唐洞街道,资兴市,,999999.0,998.2968,24.4714,54.5144,train
160,P8493,2025-06-03 01:00:00,25.97,113.45,311.0,郴州市,天鹅山,资兴市,24.31,96.0,971.7,21.3,59.4825,test
161,P7724,2025-06-03 01:00:00,25.98,111.86,365.0,永州市,麻江,双牌县,21.8,82.0,967.1,22.1,42.7489,train
162,P8390,2025-06-03 01:00:00,25.99,113.01,99.0,郴州市,栖凤渡,苏仙区,21.11,77.0,994.7,22.6,43.9446,train
163,P8681,2025-06-03 01:00:00,26.0,113.59,352.7,郴州市,团桥,资兴市,21.58,89.0,968.1,20.6,29.2445,train
164,P3918,2025-06-03 01:00:00,26.01,109.77,512.0,怀化市,陇城,通道侗族自治县,18.92,83.0,951.2,19.6,39.9863,train
165,P8265,2025-06-03 01:00:00,26.02,112.86,207.0,郴州市,文明,永兴县,21.94,81.0,985.5,22.4,41.4951,test
166,P8318,2025-06-03 01:00:00,26.03,112.53,341.1,郴州市,欧阳海,桂阳县,20.26,81.0,968.4,21.1,51.7259,train
167,P8417,2025-06-03 01:00:00,26.04,112.74,467.6,郴州市,青兰,桂阳县,19.28,80.0,956.3,20.5,39.6963,train
168,P8267,2025-06-03 01:00:00,26.04,112.92,110.0,郴州市,儒林,永兴县,20.91,74.0,993.5,23.1,39.7611,train
169,P8514,2025-06-03 01:00:00,26.04,113.39,1102.0,郴州市,十龙潭,资兴市,17.82,100.0,886.7,15.7,43.6532,train
170,P8676,2025-06-03 01:00:00,26.05,112.8,289.0,郴州市,油麻,永兴县,23.44,85.0,976.6,22.7,47.0918,test
171,P6618,2025-06-03 01:00:00,26.06,110.15,539.1,邵阳市,五团,城步苗族自治县,22.1,100.0,946.7,19.1,33.098,train
172,P8403,2025-06-03 01:00:00,26.06,112.63,286.6,郴州市,桥市,桂阳县,21.28,82.0,976.1,21.7,40.6095,train
173,P8480,2025-06-03 01:00:00,26.06,113.28,140.0,郴州市,源兴,资兴市,22.21,82.0,991.0,22.4,51.9727,train
174,P3917,2025-06-03 01:00:00,26.08,109.55,455.3,怀化市,独坡,通道侗族自治县,20.89,80.0,957.7,21.8,40.8019,train
175,P4175,2025-06-03 01:00:00,26.08,109.81,407.3,怀化市,长安堡,通道侗族自治县,22.9,98.0,961.2,20.0,44.2934,test
176,CZLT,2025-06-03 01:00:00,26.08,112.47,270.37,郴州市,莲塘镇,桂阳县,,999999.0,982.0103,23.5684,51.2222,train
177,P8481,2025-06-03 01:00:00,26.08,113.26,123.0,郴州市,东湾,资兴市,23.44,85.0,993.4,22.7,41.2311,train
178,57889,2025-06-03 01:00:00,26.08,113.94,834.1,郴州市,桂东,桂东县,17.55,66.0,914.6,22.1,31.5437,train
179,P8316,2025-06-03 01:00:00,26.09,112.47,307.0,郴州市,莲塘,桂阳县,20.04,74.0,974.1,22.4,47.1881,train
180,P6617,2025-06-03 01:00:00,26.1,110.28,777.7,邵阳市,汀坪,城步苗族自治县,19.51,97.0,919.7,17.6,35.8128,test
181,P8291,2025-06-03 01:00:00,26.1,112.86,185.6,郴州市,邝家,永兴县,22.44,78.0,987.0,23.4,42.7769,train
182,P8499,2025-06-03 01:00:00,26.1,113.54,620.0,郴州市,州门司,资兴市,20.24,100.0,937.8,17.7,49.311,train
183,P7721,2025-06-03 01:00:00,26.11,111.81,234.0,永州市,茶林,双牌县,22.07,82.0,981.9,22.3,41.7587,train
184,P7723,2025-06-03 01:00:00,26.12,111.91,1512.2,永州市,阳明山,双牌县,17.04,100.0,844.3,15.0,48.7325,train
185,57887,2025-06-03 01:00:00,26.12,113.11,169.4,郴州市,永兴,永兴县,21.63,77.0,989.0,23.0,54.3,test
186,CZYX,2025-06-03 01:00:00,26.12,113.11,156.86,郴州市,便江街道,永兴县,,999999.0,995.1653,24.2851,53.195,train
187,P5837,2025-06-03 01:00:00,26.12,113.72,886.1,株洲市,龙凤,炎陵县,19.76,97.0,909.2,17.8,38.2623,train
188,P8237,2025-06-03 01:00:00,26.13,112.81,199.0,郴州市,黄口堰水库,永兴县,22.06,85.0,982.9,21.7,39.9881,train
189,P7690,2025-06-03 01:00:00,26.14,111.71,295.0,永州市,克勤,零陵区,25.01,100.0,974.8,21.1,46.8531,train
190,P8255,2025-06-03 01:00:00,26.14,112.38,972.0,郴州市,天塘山,桂阳县,17.15,88.0,900.9,17.1,38.8799,test
191,P6956,2025-06-03 01:00:00,26.15,112.51,188.0,衡阳市,庙前,常宁市,22.93,90.0,987.0,21.4,49.6691,train
192,P8304,2025-06-03 01:00:00,26.15,113.03,105.0,郴州市,洞洪,永兴县,22.04,73.0,995.6,24.2,47.0223,train
193,P8552,2025-06-03 01:00:00,26.15,114.13,489.0,郴州市,桥头,桂东县,22.81,89.0,953.1,21.5,34.4623,train
194,57845,2025-06-03 01:00:00,26.16,109.78,400.2,怀化市,通道,通道侗族自治县,20.08,87.0,963.6,19.8,48.3,train
195,HHTD,2025-06-03 01:00:00,26.16,109.78,378.48,怀化市,双江镇,通道侗族自治县,,999999.0,969.1184,22.8457,50.1187,test
196,P6968,2025-06-03 01:00:00,26.16,112.68,69.6,衡阳市,白沙,常宁市,21.25,78.0,999.1,22.5,47.4852,train
197,P5820,2025-06-03 01:00:00,26.16,113.86,1183.6,株洲市,鑫山,炎陵县,17.71,100.0,878.3,15.6,23.3634,train
198,P6622,2025-06-03 01:00:00,26.17,110.12,1621.7,邵阳市,南山牧场,城步苗族自治县,12.37,80.0,834.0,13.5,29.2973,train
199,P8296,2025-06-03 01:00:00,26.17,113.34,179.0,郴州市,花坪,永兴县,21.41,81.0,988.5,22.0,45.479,train
