id,Lat,Lon,VAP,RHU,PRS,PWV,dataset
132,25.86,112.21,22.16,96,984.2,44.6287,train
133,25.87,111.72,19.61,100,939.7,58.7107,train
134,25.89,113.38,19.83,87,969.1,46.7052,train
135,25.91,112.21,23.91,98,982.7,51.1,test
136,25.91,113.13,22.76,91,993,54.0802,train
137,25.92,113.7,20.73,86,920.6,37.6542,train
138,25.93,111.73,23.08,100,988.9,51.8289,train
139,25.93,113.87,22.51,100,913,42.8302,train
140,25.94,111.95,21.03,90,970.8,46.4843,test
141,25.94,112.62,21.37,92,979.9,39.428,train
142,25.94,113.95,21.8,91,922.1,36.6642,train
143,25.96,111.65,23.37,100,984.8,50.9,train
144,25.96,111.87,20.86,95,964.3,40.8014,train
145,25.97,112.81,23.51,100,978.1,49.3823,test
146,25.97,113.05,21.91,86,989.6,56.9948,train
147,25.97,113.22,23.22,94,992,54.2,train
148,25.97,113.45,23.23,100,971.5,54.8745,train
149,25.98,111.86,21.16,94,966.8,40.2922,train
150,25.99,113.01,21.67,83,994.6,45.8602,test
151,26,113.59,21.66,95,968.1,32.5761,train
152,26.01,109.77,18.68,90,951.3,39.6916,train
153,26.02,112.86,21.36,87,985.1,39.4231,train
154,26.03,112.53,19.5,77,967.9,54.1711,train
155,26.04,112.74,19.04,79,955.9,36.531,test
156,26.04,112.92,22.47,84,993.3,41.1602,train
157,26.04,113.39,16.61,100,886.5,44.0303,train
158,26.05,112.8,23.66,100,976.2,49.172,train
159,26.06,110.15,21.28,100,946.5,33.6959,train
160,26.06,112.63,21.14,83,975.7,47.9376,test
161,26.06,113.28,23.43,96,991,57.0417,train
162,26.08,109.55,20.2,92,957.6,36.8992,train
163,26.08,109.81,21.42,100,961.3,42.7479,train
164,26.08,113.26,24.25,100,993.4,53.7077,train
165,26.08,113.94,18.42,75,914.5,36.1514,test
166,26.09,112.47,21.27,83,973.7,43.2412,train
167,26.1,110.28,19.36,100,919.3,35.1583,train
168,26.1,112.86,22.48,91,986.7,40.4886,train
169,26.1,113.54,19.73,100,937.6,49.2259,train
170,26.11,111.81,20.25,84,981.8,35.6562,test
171,26.12,111.91,14.44,94,843.8,34.1585,train
172,26.12,113.11,22.59,86,988.8,53.5,train
173,26.12,113.72,18.88,100,909.3,24.453,train
174,26.13,112.81,22.9,91,982.5,45.2797,train
175,26.14,111.71,23.08,100,974.4,57.992,test
176,26.14,112.38,16.48,89,900.4,38.7202,train
177,26.15,112.51,22.76,98,986.5,56.4501,train
178,26.15,113.03,21.8,81,995.4,43.2621,train
179,26.15,114.13,21.74,99,953.1,35.4352,train
180,26.16,109.78,19.57,88,963.5,49.1,test
181,26.16,112.68,21.51,86,998.8,42.2829,train
182,26.16,113.86,16.61,100,878.5,39.7079,train
183,26.17,110.12,12.69,81,833.8,27.984,train
184,26.17,113.34,22.76,91,988.4,63.4863,train
185,26.17,113.82,22.15,99,937.3,32.9959,test
186,26.17,114.18,22.24,100,958.6,33.3218,train
187,26.19,112.27,18.97,88,933.1,37.5078,train
188,26.2,109.52,20.73,95,968.7,46.0299,train
189,26.21,112.42,20.51,81,979.4,35.1552,train
190,26.21,113.2,21.63,87,986.4,41.2347,test
191,26.21,113.44,21.6,93,980.2,49.3693,train
192,26.22,111.36,24.1,100,993.6,48.3755,train
193,26.23,111.62,22.1,94,988.8,52,train
194,26.23,111.78,23.37,94,983.3,47.9471,train
195,26.23,113.77,22.66,100,959.2,32.8448,test
196,26.23,113.96,15.84,96,876.2,42.5738,train
197,26.24,110.37,19.73,100,944.7,34.7059,train
198,26.24,112.32,22.66,100,986.8,55.8938,train
199,26.24,112.46,21.53,84,989.3,49.8662,train
200,26.24,112.96,23.44,85,995.3,49.9044,test
201,26.24,113.89,20.11,100,921.3,36.6509,train
202,26.26,113.12,24.16,99,988.4,50.7629,train
203,26.27,112.37,22.33,80,994.4,51.2424,train
