id,Lat,Lon,rh,sp,t2m,PWV,dataset
231,26.37,112.22,71.25,97957.03,20.1,53.9867,train
232,26.37,112.32,71.75,98161.95,20.16,51.1009,train
233,26.37,112.68,72.84,98816.39,20.58,54.3536,train
234,26.37,113.79,85.61,92590.07,18.23,44.1847,train
235,26.38,111.49,71.68,97699.11,20.08,44.4233,test
236,26.39,112.76,72.83,98821.47,20.62,43.1954,train
237,26.39,113.62,80.2,94485.03,19.11,40.2705,train
238,26.39,113.64,80.84,94315.75,19.02,47.7179,train
239,26.39,113.87,86.13,91862.63,17.98,29.1492,train
240,26.4,111.29,71.35,97840.55,20.15,49.7,test
241,26.4,112.28,71.03,98294.35,20.24,51.1841,train
242,26.41,109.43,71.19,97911.27,20.19,43.8833,train
243,26.41,112.39,71.79,98601.55,20.37,52.3,train
244,26.42,111.6,71.03,97981.99,20.22,49.2598,train
245,26.42,112.51,72.3,98885.19,20.5,51.8067,test
246,26.43,110.05,70.87,98052.71,20.26,40.0743,train
247,26.43,111.63,70.87,98052.71,20.26,39.2669,train
248,26.43,112.07,70.84,98175.35,20.29,53.4851,train
249,26.43,112.18,70.8,98368.07,20.33,51.8522,train
250,26.43,112.83,73.56,98827.39,20.68,52.6,test
251,26.43,114.02,85.32,91420.63,18.08,28.8589,train
252,26.44,110.62,70.71,98123.43,20.29,33.7964,train
253,26.44,110.85,70.71,98123.43,20.29,49.7,train
254,26.44,112.38,71.3,98792.39,20.47,58.2218,train
255,26.44,113.24,75.9,98414.79,20.78,64.1184,test
256,26.45,109.9,70.55,98194.15,20.33,42.5123,train
257,26.45,111.22,70.55,98194.15,20.33,56.8387,train
258,26.45,112.36,71.03,98827.47,20.49,45.9617,train
259,26.45,112.43,71.45,98947.31,20.54,46.7791,train
260,26.46,111.89,70.39,98264.87,20.36,56.4399,test
261,26.46,113.49,74.1,96855.87,20.09,44.6835,train
262,26.47,112.14,70.17,98580.87,20.45,34.8724,train
263,26.47,113.09,75.66,98657.31,20.81,47.9113,train
264,26.48,112.64,71.49,99245.03,20.75,46.3443,train
265,26.48,113.65,78.29,95523.87,19.42,48.1446,test
266,26.48,113.76,81.66,94550.63,18.92,38.6339,train
267,26.48,113.79,82.1,94170.11,18.78,51.1,train
268,26.48,113.91,83.83,92648.03,18.25,41.2685,train
269,26.49,111.78,69.9,98477.03,20.46,46.7869,train
270,26.49,112.89,73.88,98926.27,20.77,47.4926,test
271,26.5,111.45,69.74,98547.75,20.5,38.9662,train
272,26.5,111.62,69.74,98547.75,20.5,52.9886,train
273,26.5,112.27,69.76,99019.99,20.62,45.4203,train
274,26.5,112.52,71.17,99400.07,20.77,47.4955,train
275,26.5,112.85,73.07,99042.75,20.79,59.3201,test
276,26.5,114.04,83.6,92238.07,18.29,34.3412,train
277,26.51,109.53,69.79,98550.43,20.5,46.9184,train
278,26.51,110.35,69.79,98550.43,20.5,44.0992,train
279,26.51,112.04,69.78,98620.51,20.52,49.7619,train
280,26.51,113.12,75.52,98668.67,20.83,53.3872,test
281,26.51,113.8,81.39,94393.47,18.86,42.1652,train
282,26.52,109.93,69.85,98553.11,20.5,33.0317,train
283,26.52,110.42,69.85,98553.11,20.5,39.8773,train
284,26.52,112.36,70.42,99198.63,20.7,55.7646,train
285,26.53,112.11,69.86,98748.51,20.55,46.7937,test
286,26.54,110.95,69.95,98558.47,20.5,55.9957,train
287,26.54,112.46,71.14,99394.39,20.78,53.1979,train
288,26.54,112.61,71.46,99387.63,20.82,47.4926,train
289,26.54,114.04,82.47,92752.47,18.49,41.4381,train
290,26.55,111.86,70.01,98561.15,20.51,49.7451,test
291,26.55,113.28,75.1,98532.63,20.84,49.8999,train
292,26.55,113.62,76.74,96291.27,19.73,48.4281,train
293,26.55,113.93,82.4,92996.23,18.39,46.0433,train
294,26.56,109.67,70.06,98563.83,20.51,52.1,train
295,26.56,113.32,74.73,98424.99,20.78,46.5374,test
296,26.57,110.28,70.12,98566.51,20.51,35.8322,train
