Lon,Lat,True_PWV,Predicted_PWV,Error
113.78,25.4,34.3983,42.45312604409884,-8.054826044098839
112.94,25.41,55.4,43.452905425424866,11.947094574575132
113.49,25.44,35.604,45.49762982127736,-9.893629821277358
112.43,25.45,31.5802,42.74763334656726,-11.167433346567261
113.69,25.46,40.3289,40.758472621972174,-0.42957262197217716
111.8,25.47,42.0178,45.7008978885699,-3.683097888569897
112.34,25.47,44.8982,43.077419864171894,1.8207801358281088
112.61,25.47,33.145,43.464303467029,-10.319303467028995
113.12,25.47,43.2179,44.94284985907813,-1.72494985907813
112.01,25.48,51.1334,46.24307719854181,4.89032280145819
111.39,25.49,47.1149,44.64601279545754,2.4688872045424617
113.65,25.49,36.6662,42.66042243968695,-5.9942224396869435
111.65,25.51,45.2487,47.88962699753086,-2.640926997530862
112.38,25.51,41.3816,43.56163880642132,-2.1800388064213223
112.65,25.51,44.2697,43.80365552651782,0.46604447348217803
111.7,25.52,49.6649,47.60986498105811,2.0550350189418936
112.46,25.52,41.679,42.804525333705705,-1.1255253337057027
112.76,25.52,36.5361,42.408164970852525,-5.872064970852527
113.91,25.52,35.4451,40.96970729273537,-5.524607292735375
111.6,25.53,52.6,45.06385909623241,7.536140903767588
112.8,25.53,36.8845,41.59342944249099,-4.708929442490984
113.37,25.53,29.4227,44.04027110311961,-14.617571103119609
111.7,25.55,50.4257,47.54838960594287,2.877310394057126
112.89,25.55,23.6373,44.96909307372435,-21.331793073724352
113.69,25.56,53.2,39.95017609039,13.24982390961
112.72,25.57,45.5023,44.16480128613151,1.3374987138684915
112.37,25.58,44.5623,44.14185436559372,0.4204456344062777
112.4,25.58,44.0732,44.127334463895274,-0.054134463895273655
111.96,25.59,52.7,44.535768114616346,8.164231885383657
112.23,25.59,45.7582,46.147183919179156,-0.38898391917915376
113.63,25.59,39.4887,43.32775299693019,-3.839052996930185
112.71,25.6,46.1321,44.54391414244699,1.5881858575530146
113.04,25.61,45.9601,45.74075932617266,0.21934067382733957
113.95,25.61,34.3865,40.47301031020733,-6.086510310207331
111.61,25.62,41.9314,46.79116192358621,-4.859761923586213
112.28,25.62,47.8523,44.78565558923218,3.0666444107678217
112.93,25.62,46.9614,43.907752251688564,3.053647748311434
113.75,25.62,37.62,41.55921834631195,-3.9392183463119537
111.37,25.64,39.7387,44.50085132940971,-4.762151329409711
112.34,25.64,41.4326,45.502791437633746,-4.070191437633746
111.92,25.65,42.1268,46.875513321623785,-4.748713321623782
112.65,25.65,54.3259,44.034744494852426,10.291155505147572
112.73,25.65,42.4651,44.85378498052781,-2.388684980527813
112.13,25.66,59.924,42.94118260816343,16.98281739183657
112.84,25.66,48.1639,43.823718558864385,4.340181441135613
111.81,25.67,49.9654,44.90321371742465,5.062186282575354
112.99,25.67,48.5949,46.06441165819027,2.530488341809736
112.49,25.68,35.869,46.76558305743426,-10.896583057434263
112.7,25.68,43.5878,45.29251543877459,-1.704715438774592
113.15,25.68,42.3801,46.9849566081923,-4.6048566081923
113.49,25.68,35.2557,43.981428662402905,-8.725728662402908
112.45,25.69,50.5439,43.82539658046635,6.718503419533654
111.64,25.7,42.8852,46.13309313307104,-3.247893133071045
112.5,25.71,46.5846,43.11466772810705,3.469932271892951
112.88,25.71,45.9376,44.001091796893654,1.9365082031063494
113.72,25.71,33.4336,41.61500116213108,-8.181401162131081
112.09,25.73,26.5264,47.47368011983782,-20.947280119837824
113.4,25.73,47.5403,45.249455283380044,2.290844716619958
113.84,25.73,28.0963,40.99489359062804,-12.898593590628039
112.4,25.74,52.4717,45.580962617463534,6.890737382536464
112.85,25.74,37.4044,44.96628459194956,-7.561884591949557
112.98,25.74,46.1373,47.31349872589017,-1.176198725890167
113.66,25.74,32.9838,42.823163001065325,-9.839363001065323
112.44,25.75,46.8023,47.04485820436755,-0.2425582043675476
112.72,25.75,50.9,43.224564710465486,7.675435289534512
113.04,25.75,47.1287,51.102814356207084,-3.9741143562070818
113.06,25.75,54.8745,47.6978697524929,7.176630247507099
112.35,25.76,47.4698,44.69401404468444,2.7757859553155626
112.65,25.76,39.4601,45.36386629724216,-5.903766297242164
112.8,25.77,37.0,44.04247345232782,-7.042473452327819
113.31,25.77,57.5801,45.80309178829316,11.777008211706843
111.44,25.78,33.1898,45.18718044802309,-11.997380448023094
112.5,25.78,47.522,45.45952042581251,2.062479574187492
112.92,25.78,52.1365,45.29747393693484,6.839026063065155
113.06,25.78,50.1569,49.73386960971388,0.4230303902861223
113.12,25.79,44.7337,50.09308064611426,-5.359380646114261
112.12,25.81,48.4387,44.06398382355734,4.374716176442661
112.28,25.81,47.062,44.972193683159965,2.0898063168400327
112.33,25.81,41.4949,46.4581665843908,-4.9632665843908015
113.04,25.81,50.1289,48.784754936302285,1.3441450636977166
112.75,25.82,36.5133,44.54079748898782,-8.02749748898782
113.1,25.82,55.1027,47.57779189726187,7.524908102738131
111.99,25.83,41.5373,44.79636099477623,-3.2590609947762275
113.17,25.84,50.2498,47.81871795905507,2.431082040944929
112.21,25.86,44.6287,46.61866778964124,-1.9899677896412413
111.72,25.87,58.7107,47.20522243806216,11.505477561937845
113.38,25.89,46.7052,46.92355177779535,-0.21835177779535542
112.21,25.91,51.1,45.208783170890165,5.891216829109837
113.13,25.91,54.0802,48.168036250767344,5.912163749232654
113.7,25.92,37.6542,42.556107182179105,-4.901907182179102
111.73,25.93,51.8289,48.43357492857891,3.395325071421084
113.87,25.93,42.8302,40.665670240463065,2.164529759536933
111.95,25.94,46.4843,44.216218267510904,2.268081732489094
112.62,25.94,39.428,45.59299103826034,-6.1649910382603395
113.95,25.94,36.6642,41.62417459405097,-4.959974594050969
111.65,25.96,50.9,47.162472376278224,3.7375276237217747
111.87,25.96,40.8014,42.13090084204271,-1.3295008420427123
112.81,25.97,49.3823,44.542751760886105,4.8395482391138955
113.05,25.97,56.9948,46.77162700290118,10.223172997098821
113.22,25.97,54.2,48.2857796816014,5.9142203183986055
113.45,25.97,54.8745,45.29028509517893,9.584214904821067
111.86,25.98,40.2922,42.39231519275765,-2.1001151927576487
113.01,25.99,45.8602,49.11349423418154,-3.2532942341815385
113.59,26.0,32.5761,44.268196334688675,-11.692096334688678
109.77,26.01,39.6916,42.718163939157854,-3.026563939157853
112.86,26.02,39.4231,45.97810314224404,-6.55500314224404
