id,latitude,longitude,rh,sp,t2m,id
278,24.2,113.65,97.82,97665.35,24.72,278
279,24.2,113.7,98.1,97529.35,24.68,279
280,24.2,113.75,98.11,97348.15,24.6,280
281,24.2,113.8,98.3,97066.15,24.61,281
282,24.2,113.85,98.62,96868.75,24.71,282
283,24.2,113.9,98.93,96671.35,24.81,283
284,24.2,113.95,99.25,96473.95,24.91,284
285,24.2,114,99.56,96276.55,25.01,285
286,24.2,114.05,99.54,96143.95,24.96,286
287,24.2,114.1,99.52,96011.35,24.91,287
288,24.2,114.15,99.5,95878.75,24.86,288
289,24.2,114.2,99.48,95746.15,24.81,289
290,24.2,114.25,99.6,95775.75,24.94,290
291,24.2,114.3,99.68,95944.75,24.99,291
292,24.2,114.35,99.75,95891.35,24.87,292
293,24.2,114.4,99.83,95837.95,24.75,293
294,24.2,114.45,99.9,95784.55,24.62,294
295,24.2,114.5,99.98,95731.15,24.5,295
296,24.2,114.55,99.96,95901.15,24.54,296
297,24.2,114.6,99.94,96071.15,24.58,297
298,24.2,114.65,99.92,96241.15,24.62,298
299,24.2,114.7,99.9,96411.15,24.66,299
300,24.2,114.75,99.96,96542.55,24.67,300
301,24.2,114.8,99.81,96784.15,24.86,301
302,24.2,114.85,99.66,97025.75,25.04,302
303,24.2,114.9,99.5,97267.35,25.22,303
304,24.2,114.95,99.35,97508.95,25.41,304
305,24.2,115,99.34,97505.95,25.42,305
306,24.25,112,96.33,94681.75,21.26,306
307,24.25,112.05,95.65,94513.75,21.06,307
308,24.25,112.1,94.96,94345.75,20.86,308
309,24.25,112.15,94.28,94177.75,20.65,309
310,24.25,112.2,93.59,94009.75,20.45,310
311,24.25,112.25,92.9,93841.75,20.24,311
312,24.25,112.3,92.57,94009.35,20.32,312
313,24.25,112.35,92.24,94176.95,20.4,313
314,24.25,112.4,91.91,94344.55,20.48,314
315,24.25,112.45,91.57,94512.15,20.56,315
316,24.25,112.5,91.24,94679.75,20.63,316
317,24.25,112.55,91.64,95092.75,21.03,317
318,24.25,112.6,92.03,95505.75,21.43,318
319,24.25,112.65,92.42,95918.75,21.82,319
320,24.25,112.7,92.82,96331.75,22.22,320
321,24.25,112.75,93.21,96744.75,22.62,321
322,24.25,112.8,93.9,96989.75,22.92,322
323,24.25,112.85,94.59,97234.75,23.23,323
324,24.25,112.9,95.27,97479.75,23.54,324
325,24.25,112.95,95.96,97724.75,23.84,325
326,24.25,113,96.65,97969.75,24.15,326
327,24.25,113.05,96.83,98056.95,24.28,327
328,24.25,113.1,97.02,98144.15,24.4,328
329,24.25,113.15,97.2,98231.35,24.53,329
330,24.25,113.2,97.39,98318.55,24.66,330
331,24.25,113.25,97.58,98405.75,24.79,331
332,24.25,113.3,97.46,98342.95,24.77,332
333,24.25,113.35,97.34,98280.15,24.75,333
334,24.25,113.4,97.22,98217.35,24.73,334
335,24.25,113.45,97.1,98154.55,24.72,335
336,24.25,113.5,96.97,98091.75,24.7,336
337,24.25,113.55,97.25,97955.75,24.66,337
338,24.25,113.6,97.52,97819.75,24.61,338
339,24.25,113.65,97.8,97683.75,24.57,339
340,24.25,113.7,98.07,97547.75,24.53,340
341,24.25,113.75,98.34,97411.75,24.49,341
342,24.25,113.8,98.66,97214.35,24.59,342
343,24.25,113.85,98.97,97016.95,24.69,343
344,24.25,113.9,99.29,96819.55,24.79,344
345,24.25,113.95,99.6,96622.15,24.89,345
346,24.25,114,99.92,96424.75,24.99,346
347,24.25,114.05,99.9,96292.15,24.94,347
348,24.25,114.1,99.88,96159.55,24.89,348
349,24.25,114.15,99.86,96026.95,24.84,349
350,24.25,114.2,99.84,95894.35,24.79,350
351,24.25,114.25,99.82,95761.75,24.74,351
352,24.25,114.3,99.89,95708.35,24.62,352
353,24.25,114.35,99.97,95654.95,24.5,353
354,24.25,114.4,100.04,95601.55,24.38,354
355,24.25,114.45,100.12,95548.15,24.25,355
356,24.25,114.5,100.19,95494.75,24.13,356
357,24.25,114.55,100.17,95664.75,24.17,357
358,24.25,114.6,100.15,95834.75,24.21,358
359,24.25,114.65,100.13,96004.75,24.25,359
360,24.25,114.7,100.11,96174.75,24.29,360
361,24.25,114.75,100.09,96344.75,24.33,361
362,24.25,114.8,99.94,96586.35,24.51,362
363,24.25,114.85,99.78,96827.95,24.69,363
364,24.25,114.9,99.63,97069.55,24.88,364
365,24.25,114.95,99.48,97311.15,25.06,365
366,24.25,115,99.32,97552.75,25.24,366
367,24.3,112,95.49,94557.95,21.05,367
368,24.3,112.05,94.54,94682.75,21.03,368
369,24.3,112.1,93.86,94514.75,20.83,369
370,24.3,112.15,93.17,94346.75,20.63,370
371,24.3,112.2,92.48,94178.75,20.42,371
372,24.3,112.25,91.8,94010.75,20.22,372
373,24.3,112.3,91.47,94178.35,20.3,373
374,24.3,112.35,91.13,94345.95,20.38,374
375,24.3,112.4,90.8,94513.55,20.45,375
376,24.3,112.45,90.47,94681.15,20.53,376
377,24.3,112.5,90.39,94833.15,20.6,377
378,24.3,112.55,90.78,95246.15,21,378
379,24.3,112.6,91.18,95659.15,21.39,379
380,24.3,112.65,91.57,96072.15,21.79,380
381,24.3,112.7,91.97,96485.15,22.19,381
382,24.3,112.75,92.25,96485.95,22.36,382
383,24.3,112.8,92.93,96730.95,22.66,383
384,24.3,112.85,93.62,96975.95,22.97,384
385,24.3,112.9,94.31,97220.95,23.27,385
386,24.3,112.95,94.99,97465.95,23.58,386
387,24.3,113,95.4,97373.15,23.71,387
388,24.3,113.05,95.89,97549.75,23.87,388
389,24.3,113.1,96.08,97636.95,24,389
390,24.3,113.15,96.26,97724.15,24.13,390
391,24.3,113.2,96.45,97811.35,24.26,391
392,24.3,113.25,96.64,97898.55,24.38,392
393,24.3,113.3,97.1,98158.35,24.51,393
394,24.3,113.35,96.98,98095.55,24.49,394
395,24.3,113.4,96.86,98032.75,24.47,395
396,24.3,113.45,96.74,97969.95,24.46,396
397,24.3,113.5,96.62,97907.15,24.44,397
398,24.3,113.55,96.89,97771.15,24.4,398
399,24.3,113.6,97.17,97635.15,24.35,399
400,24.3,113.65,97.44,97499.15,24.31,400
401,24.3,113.7,97.71,97363.15,24.27,401
402,24.3,113.75,98.39,97290.55,24.29,402
403,24.3,113.8,98.79,97086.15,24.45,403
404,24.3,113.85,99.1,96888.75,24.55,404
405,24.3,113.9,99.42,96691.35,24.65,405
406,24.3,113.95,99.73,96493.95,24.75,406
407,24.3,114,100.05,96296.55,24.85,407
408,24.3,114.05,100.03,96163.95,24.8,408
409,24.3,114.1,100.01,96031.35,24.75,409
410,24.3,114.15,99.99,95898.75,24.7,410
411,24.3,114.2,99.97,95766.15,24.65,411
412,24.3,114.25,99.83,95647.55,24.48,412
413,24.3,114.3,99.91,95564.55,24.38,413
414,24.3,114.35,99.99,95511.15,24.26,414
415,24.3,114.4,100.06,95457.75,24.14,415
416,24.3,114.45,100.14,95404.35,24.01,416
417,24.3,114.5,100.21,95350.95,23.89,417
418,24.3,114.55,100.21,95465.55,23.98,418
419,24.3,114.6,100.19,95635.55,24.02,419
420,24.3,114.65,100.17,95805.55,24.06,420
421,24.3,114.7,100.15,95975.55,24.1,421
422,24.3,114.75,100.13,96145.55,24.14,422
423,24.3,114.8,99.93,96378.95,24.33,423
424,24.3,114.85,99.78,96620.55,24.51,424
425,24.3,114.9,99.62,96862.15,24.7,425
426,24.3,114.95,99.47,97103.75,24.88,426
427,24.3,115,99.32,97345.35,25.06,427
428,24.35,112,94.64,94434.15,20.83,428
429,24.35,112.05,93.7,94558.95,20.82,429
430,24.35,112.1,92.75,94683.75,20.81,430
431,24.35,112.15,92.06,94515.75,20.6,431
432,24.35,112.2,91.38,94347.75,20.4,432
433,24.35,112.25,90.69,94179.75,20.2,433
434,24.35,112.3,90.36,94347.35,20.27,434
435,24.35,112.35,90.03,94514.95,20.35,435
436,24.35,112.4,89.69,94682.55,20.43,436
437,24.35,112.45,89.61,94834.55,20.5,437
438,24.35,112.5,89.53,94986.55,20.57,438
439,24.35,112.55,89.93,95399.55,20.96,439
440,24.35,112.6,90.32,95812.55,21.36,440
441,24.35,112.65,90.72,96225.55,21.76,441
442,24.35,112.7,91,96226.35,21.93,442
443,24.35,112.75,91.28,96227.15,22.1,443
444,24.35,112.8,91.97,96472.15,22.4,444
445,24.35,112.85,92.65,96717.15,22.71,445
446,24.35,112.9,93.34,96962.15,23.01,446
447,24.35,112.95,93.75,96869.35,23.14,447
448,24.35,113,94.16,96776.55,23.27,448
449,24.35,113.05,94.65,96953.15,23.43,449
450,24.35,113.1,95.14,97129.75,23.59,450
451,24.35,113.15,95.32,97216.95,23.72,451
452,24.35,113.2,95.51,97304.15,23.85,452
453,24.35,113.25,95.7,97391.35,23.98,453
454,24.35,113.3,96.16,97651.15,24.11,454
455,24.35,113.35,96.63,97910.95,24.23,455
456,24.35,113.4,96.51,97848.15,24.21,456
457,24.35,113.45,96.39,97785.35,24.2,457
458,24.35,113.5,96.27,97722.55,24.18,458
459,24.35,113.55,96.54,97586.55,24.14,459
460,24.35,113.6,96.81,97450.55,24.09,460
461,24.35,113.65,97.09,97314.55,24.05,461
462,24.35,113.7,97.76,97241.95,24.07,462
463,24.35,113.75,98.44,97169.35,24.09,463
464,24.35,113.8,98.84,96964.95,24.25,464
465,24.35,113.85,99.24,96760.55,24.41,465
466,24.35,113.9,99.55,96563.15,24.51,466
467,24.35,113.95,99.87,96365.75,24.61,467
468,24.35,114,100.18,96168.35,24.71,468
469,24.35,114.05,100.16,96035.75,24.66,469
470,24.35,114.1,100.14,95903.15,24.61,470
471,24.35,114.15,100.12,95770.55,24.56,471
472,24.35,114.2,99.98,95651.95,24.39,472
473,24.35,114.25,99.84,95533.35,24.22,473
474,24.35,114.3,99.92,95450.35,24.12,474
475,24.35,114.35,100.01,95367.35,24.02,475
476,24.35,114.4,100.08,95313.95,23.9,476
477,24.35,114.45,100.16,95260.55,23.77,477
478,24.35,114.5,100.23,95207.15,23.65,478
479,24.35,114.55,100.23,95321.75,23.74,479
480,24.35,114.6,100.24,95436.35,23.83,480
481,24.35,114.65,100.22,95606.35,23.87,481
482,24.35,114.7,100.2,95776.35,23.91,482
483,24.35,114.75,100.18,95946.35,23.94,483
484,24.35,114.8,99.97,96179.75,24.14,484
485,24.35,114.85,99.77,96413.15,24.33,485
486,24.35,114.9,99.62,96654.75,24.52,486
487,24.35,114.95,99.46,96896.35,24.7,487
488,24.35,115,99.31,97137.95,24.89,488
489,24.4,112,93.8,94310.35,20.61,489
490,24.4,112.05,92.85,94435.15,20.6,490
491,24.4,112.1,91.9,94559.95,20.59,491
492,24.4,112.15,90.96,94684.75,20.58,492
493,24.4,112.2,90.27,94516.75,20.38,493
494,24.4,112.25,89.59,94348.75,20.17,494
495,24.4,112.3,89.25,94516.35,20.25,495
496,24.4,112.35,88.92,94683.95,20.33,496
497,24.4,112.4,88.84,94835.95,20.4,497
498,24.4,112.45,88.76,94987.95,20.47,498
499,24.4,112.5,88.68,95139.95,20.53,499
500,24.4,112.55,89.08,95552.95,20.93,500
501,24.4,112.6,89.47,95965.95,21.33,501
502,24.4,112.65,89.75,95966.75,21.5,502
503,24.4,112.7,90.03,95967.55,21.67,503
504,24.4,112.75,90.31,95968.35,21.83,504
505,24.4,112.8,91,96213.35,22.14,505
506,24.4,112.85,91.69,96458.35,22.45,506
507,24.4,112.9,92.09,96365.55,22.57,507
508,24.4,112.95,92.5,96272.75,22.7,508
509,24.4,113,92.91,96179.95,22.83,509
510,24.4,113.05,93.4,96356.55,22.99,510
511,24.4,113.1,93.89,96533.15,23.15,511
512,24.4,113.15,94.39,96709.75,23.32,512
513,24.4,113.2,94.57,96796.95,23.45,513
514,24.4,113.25,94.76,96884.15,23.57,514
515,24.4,113.3,95.22,97143.95,23.7,515
516,24.4,113.35,95.69,97403.75,23.83,516
517,24.4,113.4,96.15,97663.55,23.95,517
518,24.4,113.45,96.03,97600.75,23.94,518
519,24.4,113.5,95.91,97537.95,23.92,519
520,24.4,113.55,96.18,97401.95,23.88,520
521,24.4,113.6,96.46,97265.95,23.83,521
522,24.4,113.65,97.14,97193.35,23.85,522
523,24.4,113.7,97.82,97120.75,23.87,523
524,24.4,113.75,98.49,97048.15,23.89,524
525,24.4,113.8,98.89,96843.75,24.05,525
526,24.4,113.85,99.29,96639.35,24.21,526
527,24.4,113.9,99.68,96434.95,24.38,527
528,24.4,113.95,100,96237.55,24.47,528
529,24.4,114,100.31,96040.15,24.57,529
530,24.4,114.05,100.29,95907.55,24.53,530
531,24.4,114.1,100.27,95774.95,24.48,531
532,24.4,114.15,100.13,95656.35,24.31,532
533,24.4,114.2,99.99,95537.75,24.14,533
534,24.4,114.25,99.84,95419.15,23.96,534
535,24.4,114.3,99.93,95336.15,23.86,535
536,24.4,114.35,100.02,95253.15,23.76,536
537,24.4,114.4,100.1,95170.15,23.66,537
538,24.4,114.45,100.18,95116.75,23.53,538
539,24.4,114.5,100.25,95063.35,23.41,539
540,24.4,114.55,100.25,95177.95,23.5,540
541,24.4,114.6,100.26,95292.55,23.59,541
542,24.4,114.65,100.26,95407.15,23.68,542
543,24.4,114.7,100.24,95577.15,23.71,543
544,24.4,114.75,100.22,95747.15,23.75,544
545,24.4,114.8,100.02,95980.55,23.95,545
546,24.4,114.85,99.81,96213.95,24.14,546
547,24.4,114.9,99.61,96447.35,24.34,547
548,24.4,114.95,99.46,96688.95,24.52,548
549,24.4,115,99.3,96930.55,24.71,549
550,24.45,112,92.95,94186.55,20.39,550
551,24.45,112.05,92.01,94311.35,20.38,551
552,24.45,112.1,91.06,94436.15,20.37,552
553,24.45,112.15,90.11,94560.95,20.36,553
554,24.45,112.2,89.17,94685.75,20.35,554
555,24.45,112.25,88.48,94517.75,20.15,555
556,24.45,112.3,88.15,94685.35,20.23,556
557,24.45,112.35,88.07,94837.35,20.3,557
558,24.45,112.4,87.99,94989.35,20.36,558
559,24.45,112.45,87.91,95141.35,20.43,559
560,24.45,112.5,87.83,95293.35,20.5,560
561,24.45,112.55,88.22,95706.35,20.9,561
562,24.45,112.6,88.5,95707.15,21.07,562
563,24.45,112.65,88.78,95707.95,21.24,563
564,24.45,112.7,89.06,95708.75,21.4,564
565,24.45,112.75,89.34,95709.55,21.57,565
566,24.45,112.8,90.03,95954.55,21.88,566
