id,Station_Id_C,time,Lat,Lon,Alti,City,Station_Name,Cnty,VAP,RHU,PRS,TEM,PWV,dataset,PWV,formatted_time
55,P8658,2025/06/03 00:00,25.47,112.61,620.6,郴州市,镇南,临武县,19.61,100,939.0,17.2,33.145,test,33.145,2025-06-03 00:00:00
56,P8706,2025/06/03 00:00,25.47,113.12,357.9,郴州市,杨梅山,宜章县,21.39,98,967.4,18.9,43.2179,train,43.2179,2025-06-03 00:00:00
57,P8091,2025/06/03 00:00,25.48,112.01,234.9,永州市,湾井,宁远县,22.94,100,980.9,19.7,51.1334,train,51.1334,2025-06-03 00:00:00
58,P7886,2025/06/03 00:00,25.49,111.39,356.0,永州市,月岩,道县,20.6,98,967.7,18.3,47.1149,train,47.1149,2025-06-03 00:00:00
59,P8765,2025/06/03 00:00,25.49,113.65,608.0,郴州市,泉水,汝城县,19.76,94,939.6,18.3,36.6662,train,36.6662,2025-06-03 00:00:00
60,P7906,2025/06/03 00:00,25.51,111.65,160.0,永州市,齐心,道县,21.66,91,987.1,20.3,45.2487,test,45.2487,2025-06-03 00:00:00
61,P8593,2025/06/03 00:00,25.51,112.38,256.0,郴州市,邓林,嘉禾县,21.66,95,979.6,19.6,41.3816,train,41.3816,2025-06-03 00:00:00
62,P8407,2025/06/03 00:00,25.51,112.65,696.0,郴州市,荷叶,桂阳县,18.64,100,929.9,16.4,44.2697,train,44.2697,2025-06-03 00:00:00
63,P7890,2025/06/03 00:00,25.52,111.7,181.0,永州市,白芒铺,道县,21.83,94,985.8,19.9,49.6649,train,49.6649,2025-06-03 00:00:00
64,P8598,2025/06/03 00:00,25.52,112.46,281.0,郴州市,泮头水库,嘉禾县,21.23,92,975.3,19.8,41.679,train,41.679,2025-06-03 00:00:00
65,P8888,2025/06/03 00:00,25.52,112.76,1168.0,郴州市,太山里,北湖区,16.29,100,878.8,14.3,36.5361,test,36.5361,2025-06-03 00:00:00
66,P8772,2025/06/03 00:00,25.52,113.91,358.0,郴州市,热水,汝城县,22.25,97,967.6,19.7,35.4451,train,35.4451,2025-06-03 00:00:00
67,57965,2025/06/03 00:00,25.53,111.6,192.7,永州市,道县,道县,22.14,93,986.2,20.3,52.6,train,52.6,2025-06-03 00:00:00
68,P8386,2025/06/03 00:00,25.53,112.8,1205.0,郴州市,十亩田,北湖区,16.18,100,875.1,14.2,36.8845,train,36.8845,2025-06-03 00:00:00
69,P8751,2025/06/03 00:00,25.53,113.37,475.7,郴州市,文明水库,汝城县,20.73,95,954.0,18.9,29.4227,train,29.4227,2025-06-03 00:00:00
70,P8086,2025/06/03 00:00,25.55,111.7,168.0,永州市,白马渡,道县,22.48,98,986.4,19.7,50.4257,test,50.4257,2025-06-03 00:00:00
71,P8383,2025/06/03 00:00,25.55,112.89,810.0,郴州市,永春,北湖区,18.04,92,918.4,17.2,23.6373,train,23.6373,2025-06-03 00:00:00
72,57985,2025/06/03 00:00,25.56,113.69,648.2,郴州市,汝城,汝城县,20.24,100,935.5,17.7,53.2,train,53.2,2025-06-03 00:00:00
73,P8375,2025/06/03 00:00,25.57,112.72,342.0,郴州市,鲁塘,北湖区,20.77,94,968.3,19.1,45.5023,train,45.5023,2025-06-03 00:00:00
74,57974,2025/06/03 00:00,25.58,112.37,214.5,郴州市,嘉禾,嘉禾县,24.1,100,983.8,20.5,44.5623,train,44.5623,2025-06-03 00:00:00
75,P8234,2025/06/03 00:00,25.58,112.4,318.0,郴州市,车头,嘉禾县,20.81,93,972.5,19.3,44.0732,test,44.0732,2025-06-03 00:00:00
76,57966,2025/06/03 00:00,25.59,111.96,243.1,永州市,宁远,宁远县,21.93,91,980.2,20.5,52.7,train,52.7,2025-06-03 00:00:00
77,P7963,2025/06/03 00:00,25.59,112.23,381.0,永州市,甘溪,蓝山县,20.9,90,963.2,19.9,45.7582,train,45.7582,2025-06-03 00:00:00
78,P8758,2025/06/03 00:00,25.59,113.63,633.0,郴州市,金宝,汝城县,20.09,95,937.7,18.4,39.4887,train,39.4887,2025-06-03 00:00:00
79,P8684,2025/06/03 00:00,25.6,112.71,362.0,郴州市,肖家山水库,桂阳县,21.17,97,967.2,18.9,46.1321,train,46.1321,2025-06-03 00:00:00
80,P8442,2025/06/03 00:00,25.61,113.04,350.6,郴州市,百丈,苏仙区,21.15,100,968.1,18.4,45.9601,test,45.9601,2025-06-03 00:00:00
81,P8762,2025/06/03 00:00,25.61,113.95,280.0,郴州市,集龙,汝城县,22.76,98,974.8,19.9,34.3865,train,34.3865,2025-06-03 00:00:00
82,P7888,2025/06/03 00:00,25.62,111.61,167.0,永州市,梅花,道县,21.32,89,986.2,20.4,41.9314,train,41.9314,2025-06-03 00:00:00
83,P8591,2025/06/03 00:00,25.62,112.28,284.0,郴州市,盘江水库,嘉禾县,21.73,93,975.7,20.0,47.8523,train,47.8523,2025-06-03 00:00:00
84,P8374,2025/06/03 00:00,25.62,112.93,490.6,郴州市,江口,北湖区,19.84,95,953.0,18.2,46.9614,train,46.9614,2025-06-03 00:00:00
85,P8768,2025/06/03 00:00,25.62,113.75,627.0,郴州市,永丰,汝城县,19.8,96,937.8,18.0,37.62,test,37.62,2025-06-03 00:00:00
86,P8088,2025/06/03 00:00,25.64,111.37,281.0,永州市,仙子脚,道县,22.01,99,972.0,19.2,39.7387,train,39.7387,2025-06-03 00:00:00
87,P8352,2025/06/03 00:00,25.64,112.34,208.0,郴州市,石燕,嘉禾县,22.28,93,984.8,20.4,41.4326,train,41.4326,2025-06-03 00:00:00
88,P7783,2025/06/03 00:00,25.65,111.92,209.0,永州市,恩里,宁远县,21.27,91,982.4,20.0,42.1268,train,42.1268,2025-06-03 00:00:00
89,P8405,2025/06/03 00:00,25.65,112.65,331.9,郴州市,方元,桂阳县,22.8,100,970.4,19.6,54.3259,train,54.3259,2025-06-03 00:00:00
90,P8409,2025/06/03 00:00,25.65,112.73,263.7,郴州市,地界,桂阳县,22.11,97,978.2,19.6,42.4651,test,42.4651,2025-06-03 00:00:00
91,P7785,2025/06/03 00:00,25.66,112.13,396.6,永州市,太平,宁远县,22.24,100,962.7,19.2,59.924,train,59.924,2025-06-03 00:00:00
92,P8384,2025/06/03 00:00,25.66,112.84,312.0,郴州市,月峰,北湖区,20.46,92,971.5,19.2,48.1639,train,48.1639,2025-06-03 00:00:00
