id,Station_Id_C,time,Lat,Lon,Alti,City,Station_Name,Cnty,VAP,RHU,PRS,TEM,pwv,dataset,formatted_time,id,predict,rh,sp,t2m,target
55,P8658,2025/06/03 00:00,25.47,112.61,620.6,郴州市,镇南,临武县,19.61,100,939,17.2,33.145,test,2025-06-03 00:00:00,472.0,44.598244,79.5,95541.95,19.1,472.0
56,P8706,2025/06/03 00:00,25.47,113.12,357.9,郴州市,杨梅山,宜章县,21.39,98,967.4,18.9,43.2179,train,2025-06-03 00:00:00,477.0,44.55066,80.91,94513.95,18.83,477.0
57,P8091,2025/06/03 00:00,25.48,112.01,234.9,永州市,湾井,宁远县,22.94,100,980.9,19.7,51.1334,train,2025-06-03 00:00:00,466.0,45.72357,79.35,96190.75,19.31,466.0
58,P7886,2025/06/03 00:00,25.49,111.39,356.0,永州市,月岩,道县,20.6,98,967.7,18.3,47.1149,train,2025-06-03 00:00:00,466.0,45.72357,79.35,96190.75,19.31,466.0
59,P8765,2025/06/03 00:00,25.49,113.65,608.0,郴州市,泉水,汝城县,19.76,94,939.6,18.3,36.6662,train,2025-06-03 00:00:00,483.0,41.818085,88.58,92877.95,20.04,483.0
60,P7906,2025/06/03 00:00,25.51,111.65,160.0,永州市,齐心,道县,21.66,91,987.1,20.3,45.2487,test,2025-06-03 00:00:00,466.0,45.72357,79.35,96190.75,19.31,466.0
61,P8593,2025/06/03 00:00,25.51,112.38,256.0,郴州市,邓林,嘉禾县,21.66,95,979.6,19.6,41.3816,train,2025-06-03 00:00:00,470.0,45.11527,78.23,95714.35,19.11,470.0
62,P8407,2025/06/03 00:00,25.51,112.65,696.0,郴州市,荷叶,桂阳县,18.64,100,929.9,16.4,44.2697,train,2025-06-03 00:00:00,473.0,44.862434,79.7,95583.15,19.12,473.0
63,P7890,2025/06/03 00:00,25.52,111.7,181.0,永州市,白芒铺,道县,21.83,94,985.8,19.9,49.6649,train,2025-06-03 00:00:00,466.0,45.72357,79.35,96190.75,19.31,466.0
64,P8598,2025/06/03 00:00,25.52,112.46,281.0,郴州市,泮头水库,嘉禾县,21.23,92,975.3,19.8,41.679,train,2025-06-03 00:00:00,471.0,45.282948,79.29,95500.75,19.08,471.0
65,P8888,2025/06/03 00:00,25.52,112.76,1168.0,郴州市,太山里,北湖区,16.29,100,878.8,14.3,36.5361,test,2025-06-03 00:00:00,474.0,45.005444,79.78,95478.75,19.09,474.0
66,P8772,2025/06/03 00:00,25.52,113.91,358.0,郴州市,热水,汝城县,22.25,97,967.6,19.7,35.4451,train,2025-06-03 00:00:00,485.0,40.903934,94.83,93229.55,21.35,485.0
67,57965,2025/06/03 00:00,25.53,111.6,192.7,永州市,道县,道县,22.14,93,986.2,20.3,52.6,train,2025-06-03 00:00:00,466.0,45.72357,79.35,96190.75,19.31,466.0
68,P8386,2025/06/03 00:00,25.53,112.8,1205.0,郴州市,十亩田,北湖区,16.18,100,875.1,14.2,36.8845,train,2025-06-03 00:00:00,474.0,45.005444,79.78,95478.75,19.09,474.0
69,P8751,2025/06/03 00:00,25.53,113.37,475.7,郴州市,文明水库,汝城县,20.73,95,954,18.9,29.4227,train,2025-06-03 00:00:00,480.0,42.45624,84.39,93126.75,18.78,480.0
70,P8086,2025/06/03 00:00,25.55,111.7,168.0,永州市,白马渡,道县,22.48,98,986.4,19.7,50.4257,test,2025-06-03 00:00:00,466.0,45.72357,79.35,96190.75,19.31,466.0
71,P8383,2025/06/03 00:00,25.55,112.89,810.0,郴州市,永春,北湖区,18.04,92,918.4,17.2,23.6373,train,2025-06-03 00:00:00,475.0,44.7565,79.71,95228.75,19.01,475.0
72,57985,2025/06/03 00:00,25.56,113.69,648.2,郴州市,汝城,汝城县,20.24,100,935.5,17.7,53.2,train,2025-06-03 00:00:00,514.0,41.34797,87.71,92561.55,19.68,514.0
73,P8375,2025/06/03 00:00,25.57,112.72,342.0,郴州市,鲁塘,北湖区,20.77,94,968.3,19.1,45.5023,train,2025-06-03 00:00:00,504.0,45.15823,80.12,95933.55,19.27,504.0
74,57974,2025/06/03 00:00,25.58,112.37,214.5,郴州市,嘉禾,嘉禾县,24.1,100,983.8,20.5,44.5623,train,2025-06-03 00:00:00,501.0,45.22646,78.0,96432.35,19.44,501.0
75,P8234,2025/06/03 00:00,25.58,112.4,318.0,郴州市,车头,嘉禾县,20.81,93,972.5,19.3,44.0732,test,2025-06-03 00:00:00,501.0,45.22646,78.0,96432.35,19.44,501.0
76,57966,2025/06/03 00:00,25.59,111.96,243.1,永州市,宁远,宁远县,21.93,91,980.2,20.5,52.7,train,2025-06-03 00:00:00,497.0,45.041466,79.82,96322.35,19.46,497.0
77,P7963,2025/06/03 00:00,25.59,112.23,381.0,永州市,甘溪,蓝山县,20.9,90,963.2,19.9,45.7582,train,2025-06-03 00:00:00,499.0,45.89969,77.0,96405.55,19.43,499.0
78,P8758,2025/06/03 00:00,25.59,113.63,633.0,郴州市,金宝,汝城县,20.09,95,937.7,18.4,39.4887,train,2025-06-03 00:00:00,513.0,42.670937,86.15,92455.95,19.08,513.0
79,P8684,2025/06/03 00:00,25.6,112.71,362.0,郴州市,肖家山水库,桂阳县,21.17,97,967.2,18.9,46.1321,train,2025-06-03 00:00:00,504.0,45.15823,80.12,95933.55,19.27,504.0
80,P8442,2025/06/03 00:00,25.61,113.04,350.6,郴州市,百丈,苏仙区,21.15,100,968.1,18.4,45.9601,test,2025-06-03 00:00:00,507.0,44.89756,79.26,95315.55,19.03,507.0
