time_utc,time_bj,latitude,longitude,t2m_K,sp_Pa,t2m_C
2025-06-02 00:00:00,2025-06-02 08:00:00,29.25,113.0,293.0896,100208.69,19.939606
2025-06-02 00:00:00,2025-06-02 08:00:00,29.25,113.25,292.63647,99535.69,19.48648
2025-06-02 00:00:00,2025-06-02 08:00:00,29.25,113.5,291.88647,98573.69,18.73648
2025-06-02 00:00:00,2025-06-02 08:00:00,29.25,113.75,291.14624,97306.69,17.996246
2025-06-02 00:00:00,2025-06-02 08:00:00,29.25,114.0,291.06226,97030.69,17.912262
2025-06-02 00:00:00,2025-06-02 08:00:00,29.25,114.25,290.80835,96128.69,17.658356
2025-06-02 00:00:00,2025-06-02 08:00:00,29.25,114.5,290.94507,96057.69,17.795074
2025-06-02 00:00:00,2025-06-02 08:00:00,29.25,114.75,291.40405,96349.69,18.254059
2025-06-02 00:00:00,2025-06-02 08:00:00,29.25,115.0,291.3435,95811.69,18.193512
2025-06-02 00:00:00,2025-06-02 08:00:00,29.0,112.0,293.80835,100259.69,20.658356
2025-06-02 00:00:00,2025-06-02 08:00:00,29.0,112.25,293.73022,100395.69,20.58023
2025-06-02 00:00:00,2025-06-02 08:00:00,29.0,112.5,293.47437,100392.69,20.324371
2025-06-02 00:00:00,2025-06-02 08:00:00,29.0,112.75,293.29468,100371.69,20.144684
2025-06-02 00:00:00,2025-06-02 08:00:00,29.0,113.0,293.0349,100240.69,19.884918
2025-06-02 00:00:00,2025-06-02 08:00:00,29.0,113.25,292.58374,99566.69,19.433746
2025-06-02 00:00:00,2025-06-02 08:00:00,29.0,113.5,291.97437,98387.69,18.824371
2025-06-02 00:00:00,2025-06-02 08:00:00,29.0,113.75,291.3064,96931.69,18.156403
2025-06-02 00:00:00,2025-06-02 08:00:00,29.0,114.0,291.40405,96762.69,18.254059
2025-06-02 00:00:00,2025-06-02 08:00:00,29.0,114.25,291.61108,96812.69,18.46109
2025-06-02 00:00:00,2025-06-02 08:00:00,29.0,114.5,291.74976,96741.69,18.599762
2025-06-02 00:00:00,2025-06-02 08:00:00,29.0,114.75,291.64624,95842.69,18.496246
2025-06-02 00:00:00,2025-06-02 08:00:00,29.0,115.0,291.2478,94194.69,18.097809
2025-06-02 00:00:00,2025-06-02 08:00:00,28.75,112.0,293.5603,100074.69,20.410309
2025-06-02 00:00:00,2025-06-02 08:00:00,28.75,112.25,293.46265,100171.69,20.312653
2025-06-02 00:00:00,2025-06-02 08:00:00,28.75,112.5,293.43726,100410.69,20.287262
2025-06-02 00:00:00,2025-06-02 08:00:00,28.75,112.75,293.15405,100219.69,20.004059
2025-06-02 00:00:00,2025-06-02 08:00:00,28.75,113.0,292.74585,100040.69,19.595856
2025-06-02 00:00:00,2025-06-02 08:00:00,28.75,113.25,292.281,99443.69,19.131012
2025-06-02 00:00:00,2025-06-02 08:00:00,28.75,113.5,291.77124,98384.69,18.621246
2025-06-02 00:00:00,2025-06-02 08:00:00,28.75,113.75,291.51343,97030.69,18.363434
2025-06-02 00:00:00,2025-06-02 08:00:00,28.75,114.0,291.3474,96150.69,18.197418
2025-06-02 00:00:00,2025-06-02 08:00:00,28.75,114.25,291.406,96054.69,18.256012
2025-06-02 00:00:00,2025-06-02 08:00:00,28.75,114.5,291.62866,95960.69,18.478668
2025-06-02 00:00:00,2025-06-02 08:00:00,28.75,114.75,291.47046,94865.69,18.320465
2025-06-02 00:00:00,2025-06-02 08:00:00,28.75,115.0,292.35132,94596.69,19.201324
2025-06-02 00:00:00,2025-06-02 08:00:00,28.5,112.0,292.73804,99142.69,19.588043
2025-06-02 00:00:00,2025-06-02 08:00:00,28.5,112.25,293.00366,99778.69,19.853668
2025-06-02 00:00:00,2025-06-02 08:00:00,28.5,112.5,293.15796,100335.69,20.007965
2025-06-02 00:00:00,2025-06-02 08:00:00,28.5,112.75,292.77124,99998.69,19.621246
2025-06-02 00:00:00,2025-06-02 08:00:00,28.5,113.0,292.3318,99671.69,19.181793
2025-06-02 00:00:00,2025-06-02 08:00:00,28.5,113.25,291.92163,99051.69,18.771637
2025-06-02 00:00:00,2025-06-02 08:00:00,28.5,113.5,291.7224,98168.69,18.572418
2025-06-02 00:00:00,2025-06-02 08:00:00,28.5,113.75,291.62085,96841.69,18.470856
2025-06-02 00:00:00,2025-06-02 08:00:00,28.5,114.0,291.29272,95365.69,18.14273
2025-06-02 00:00:00,2025-06-02 08:00:00,28.5,114.25,291.47046,95065.69,18.320465
2025-06-02 00:00:00,2025-06-02 08:00:00,28.5,114.5,292.0603,95422.69,18.910309
2025-06-02 00:00:00,2025-06-02 08:00:00,28.5,114.75,293.27905,96370.69,20.129059
2025-06-02 00:00:00,2025-06-02 08:00:00,28.5,115.0,295.16187,97876.69,22.011871
2025-06-02 00:00:00,2025-06-02 08:00:00,28.25,112.0,291.2478,96967.69,18.097809
2025-06-02 00:00:00,2025-06-02 08:00:00,28.25,112.25,292.0857,98484.69,18.9357
2025-06-02 00:00:00,2025-06-02 08:00:00,28.25,112.5,292.54272,99716.69,19.39273
2025-06-02 00:00:00,2025-06-02 08:00:00,28.25,112.75,292.48022,99800.69,19.33023
2025-06-02 00:00:00,2025-06-02 08:00:00,28.25,113.0,292.33765,99892.69,19.187653
2025-06-02 00:00:00,2025-06-02 08:00:00,28.25,113.25,292.05835,99540.69,18.908356
2025-06-02 00:00:00,2025-06-02 08:00:00,28.25,113.5,291.82202,98699.69,18.672028
2025-06-02 00:00:00,2025-06-02 08:00:00,28.25,113.75,291.99194,97613.69,18.84195
2025-06-02 00:00:00,2025-06-02 08:00:00,28.25,114.0,292.42358,96505.69,19.27359
2025-06-02 00:00:00,2025-06-02 08:00:00,28.25,114.25,293.17944,96816.69,20.02945
2025-06-02 00:00:00,2025-06-02 08:00:00,28.25,114.5,294.23413,97924.69,21.084137
2025-06-02 00:00:00,2025-06-02 08:00:00,28.25,114.75,295.51538,99193.69,22.365387
2025-06-02 00:00:00,2025-06-02 08:00:00,28.25,115.0,296.7478,99722.69,23.597809
2025-06-02 00:00:00,2025-06-02 08:00:00,28.0,112.0,291.42554,96982.69,18.275543
2025-06-02 00:00:00,2025-06-02 08:00:00,28.0,112.25,292.22437,98665.69,19.074371
2025-06-02 00:00:00,2025-06-02 08:00:00,28.0,112.5,292.28882,99504.69,19.138824
2025-06-02 00:00:00,2025-06-02 08:00:00,28.0,112.75,292.5056,99791.69,19.355621
2025-06-02 00:00:00,2025-06-02 08:00:00,28.0,113.0,292.365,99819.69,19.214996
2025-06-02 00:00:00,2025-06-02 08:00:00,28.0,113.25,292.0935,99348.69,18.943512
2025-06-02 00:00:00,2025-06-02 08:00:00,28.0,113.5,291.91772,98524.69,18.76773
2025-06-02 00:00:00,2025-06-02 08:00:00,28.0,113.75,292.57007,98566.69,19.420074
2025-06-02 00:00:00,2025-06-02 08:00:00,28.0,114.0,292.90015,97984.69,19.750153
2025-06-02 00:00:00,2025-06-02 08:00:00,28.0,114.25,293.56226,97919.69,20.412262
2025-06-02 00:00:00,2025-06-02 08:00:00,28.0,114.5,294.2771,98201.69,21.127106
2025-06-02 00:00:00,2025-06-02 08:00:00,28.0,114.75,295.2107,98861.69,22.0607
2025-06-02 00:00:00,2025-06-02 08:00:00,28.0,115.0,296.365,99231.69,23.214996
2025-06-02 00:00:00,2025-06-02 08:00:00,27.75,112.0,292.2849,98469.69,19.134918
2025-06-02 00:00:00,2025-06-02 08:00:00,27.75,112.25,292.46265,99313.69,19.312653
2025-06-02 00:00:00,2025-06-02 08:00:00,27.75,112.5,292.17358,99349.69,19.02359
2025-06-02 00:00:00,2025-06-02 08:00:00,27.75,112.75,292.42163,99722.69,19.271637
2025-06-02 00:00:00,2025-06-02 08:00:00,27.75,113.0,292.48608,99782.69,19.33609
2025-06-02 00:00:00,2025-06-02 08:00:00,27.75,113.25,292.45288,99526.69,19.302887
2025-06-02 00:00:00,2025-06-02 08:00:00,27.75,113.5,292.4353,99048.69,19.285309
2025-06-02 00:00:00,2025-06-02 08:00:00,27.75,113.75,292.656,98747.69,19.506012
2025-06-02 00:00:00,2025-06-02 08:00:00,27.75,114.0,292.32202,97540.69,19.172028
2025-06-02 00:00:00,2025-06-02 08:00:00,27.75,114.25,292.865,96671.69,19.714996
2025-06-02 00:00:00,2025-06-02 08:00:00,27.75,114.5,294.1267,97482.69,20.976715
