id,Station_Id_C,time,Lat,Lon,Alti,City,Station_Name,Cnty,VAP,RHU,PRS,TEM,pwv,dataset,formatted_time,rh,sp,t2m
22,P8690,2025/06/03 00:00,25.14,112.74,288.0,郴州市,黄沙,宜章县,22.66,100,974.8,19.5,51.8915,train,2025-06-03 00:00:00,77.98,94425.71,18.8
23,P7999,2025/06/03 00:00,25.17,111.34,336.1,永州市,回龙圩,江永县,19.83,87,969.6,19.6,41.1775,train,2025-06-03 00:00:00,82.24,92646.51,17.94
24,P8101,2025/06/03 00:00,25.17,111.66,226.0,永州市,涔天河水东,江华瑶族自治县,21.61,96,979.8,19.4,37.8204,train,2025-06-03 00:00:00,82.24,92646.51,17.94
25,P8648,2025/06/03 00:00,25.17,112.63,343.2,郴州市,邹家,临武县,21.1,92,969.7,19.7,27.0608,test,2025-06-03 00:00:00,78.46,94437.87,18.82
26,59063,2025/06/03 00:00,25.18,111.57,265.7,永州市,江华,江华瑶族自治县,21.23,92,977.3,19.8,52.8903,train,2025-06-03 00:00:00,82.23,92642.79,17.91
27,P8064,2025/06/03 00:00,25.18,111.9,854.3,永州市,香草源,江华瑶族自治县,18.16,95,910.8,16.8,37.84,train,2025-06-03 00:00:00,82.23,92642.79,17.91
28,P8699,2025/06/03 00:00,25.19,112.85,216.0,郴州市,一六,宜章县,22.66,100,984.3,19.5,48.6902,train,2025-06-03 00:00:00,78.1,94759.15,18.98
29,P7996,2025/06/03 00:00,25.2,111.18,335.7,永州市,汉江源水库,江永县,22.66,100,969.7,19.5,39.9923,train,2025-06-03 00:00:00,82.21,92635.35,17.85
30,P7901,2025/06/03 00:00,25.23,111.9,1123.1,永州市,紫金锂业,道县,16.5,100,883.9,14.5,28.8064,test,2025-06-03 00:00:00,82.17,92624.19,17.77
31,P8701,2025/06/03 00:00,25.24,112.95,243.2,郴州市,栗源,宜章县,23.0,96,980.2,20.4,40.6619,train,2025-06-03 00:00:00,78.3,95076.95,19.16
32,P7946,2025/06/03 00:00,25.25,112.26,615.5,永州市,浆洞,蓝山县,18.55,94,939.3,17.3,46.2765,train,2025-06-03 00:00:00,79.5,93649.59,18.2
33,57978,2025/06/03 00:00,25.27,112.55,295.7,郴州市,临武,临武县,21.0,91,974.8,19.8,51.8,train,2025-06-03 00:00:00,78.25,94865.95,18.93
34,57969,2025/06/03 00:00,25.28,111.31,259.4,永州市,江永,江永县,21.66,98,977.4,19.1,50.6321,train,2025-06-03 00:00:00,81.81,93045.63,17.9
35,P8046,2025/06/03 00:00,25.29,111.51,215.0,永州市,沱江下蒋,江华瑶族自治县,21.52,95,981.5,19.5,45.4101,test,2025-06-03 00:00:00,81.7,93188.59,17.97
36,P8102,2025/06/03 00:00,25.29,111.62,219.9,永州市,界牌,江华瑶族自治县,21.21,88,983.1,20.5,39.3987,train,2025-06-03 00:00:00,81.7,93188.59,17.97
37,P7898,2025/06/03 00:00,25.29,111.81,621.2,永州市,洪塘营,道县,19.84,95,937.7,18.2,43.8209,train,2025-06-03 00:00:00,81.7,93188.59,17.97
38,P8663,2025/06/03 00:00,25.33,112.46,451.7,郴州市,大塘,临武县,0.0,0,956.4,18.8,4.9191,train,2025-06-03 00:00:00,78.37,95059.19,18.98
39,P8095,2025/06/03 00:00,25.34,112.31,342.5,永州市,毛俊,蓝山县,21.82,100,969.2,18.9,56.7269,train,2025-06-03 00:00:00,78.26,94748.59,18.71
40,P7992,2025/06/03 00:00,25.35,111.45,213.0,永州市,上江圩,江永县,21.98,97,984.6,19.5,46.9608,test,2025-06-03 00:00:00,81.03,94046.35,18.35
41,P7793,2025/06/03 00:00,25.35,111.95,277.0,永州市,湿地公园,宁远县,22.37,100,972,19.3,59.6171,train,2025-06-03 00:00:00,81.03,94046.35,18.35
42,P8755,2025/06/03 00:00,25.38,113.52,923.0,郴州市,小垣,汝城县,18.08,97,905.6,16.4,54.4439,train,2025-06-03 00:00:00,88.67,93894.35,19.74
43,P8107,2025/06/03 00:00,25.39,111.31,287.7,永州市,盘王广场,江永县,19.98,91,974.5,19.0,45.3784,train,2025-06-03 00:00:00,80.58,94618.19,18.61
44,P8656,2025/06/03 00:00,25.39,112.72,269.9,郴州市,深渡,临武县,21.9,92,977.3,20.3,51.5912,train,2025-06-03 00:00:00,78.39,95377.11,19.05
45,P7893,2025/06/03 00:00,25.4,111.57,180.0,永州市,祥霖铺,道县,23.23,100,987.1,19.9,43.5605,test,2025-06-03 00:00:00,80.47,94761.15,18.67
46,57975,2025/06/03 00:00,25.4,112.17,345.9,永州市,蓝山,蓝山县,22.1,100,969,19.1,56.7816,train,2025-06-03 00:00:00,78.63,94746.59,18.62
47,P8759,2025/06/03 00:00,25.4,113.61,676.0,郴州市,龙虎洞水库,汝城县,20.05,96,932.2,18.2,40.7756,train,2025-06-03 00:00:00,89.54,93785.31,20.13
48,P8767,2025/06/03 00:00,25.4,113.78,254.5,郴州市,九龙江公园,汝城县,23.81,100,979.5,20.3,34.3983,train,2025-06-03 00:00:00,92.83,93992.91,21.16
49,57976,2025/06/03 00:00,25.41,112.94,225.2,郴州市,宜章,宜章县,21.25,86,982.6,20.9,55.4,train,2025-06-03 00:00:00,79.29,95188.15,19.08
50,P8754,2025/06/03 00:00,25.44,113.49,615.0,郴州市,延寿,汝城县,19.83,98,939.6,17.7,35.604,test,2025-06-03 00:00:00,86.8,93316.35,19.23
51,P8642,2025/06/03 00:00,25.45,112.43,468.5,郴州市,林里,临武县,20.81,99,956.2,18.3,31.5802,train,2025-06-03 00:00:00,78.4,95495.27,19.07
52,P8763,2025/06/03 00:00,25.46,113.69,654.0,郴州市,大坪,汝城县,19.83,98,936.2,17.7,40.3289,train,2025-06-03 00:00:00,89.37,93268.35,20.23
53,P8090,2025/06/03 00:00,25.47,111.8,212.0,永州市,梅岗,宁远县,22.42,93,983.1,20.5,42.0178,train,2025-06-03 00:00:00,79.69,95761.87,19.12
54,P7951,2025/06/03 00:00,25.47,112.34,262.5,永州市,太平圩,蓝山县,21.56,94,978.8,19.7,44.8982,train,2025-06-03 00:00:00,77.51,95749.51,19.11
55,P8658,2025/06/03 00:00,25.47,112.61,620.6,郴州市,镇南,临武县,19.61,100,939,17.2,33.145,test,2025-06-03 00:00:00,79.15,95487.63,19.08
56,P8706,2025/06/03 00:00,25.47,113.12,357.9,郴州市,杨梅山,宜章县,21.39,98,967.4,18.9,43.2179,train,2025-06-03 00:00:00,81.03,94440.79,18.84
57,P8091,2025/06/03 00:00,25.48,112.01,234.9,永州市,湾井,宁远县,22.94,100,980.9,19.7,51.1334,train,2025-06-03 00:00:00,79.47,95898.59,19.18
58,P7886,2025/06/03 00:00,25.49,111.39,356.0,永州市,月岩,道县,20.6,98,967.7,18.3,47.1149,train,2025-06-03 00:00:00,79.46,96047.79,19.25
59,P8765,2025/06/03 00:00,25.49,113.65,608.0,郴州市,泉水,汝城县,19.76,94,939.6,18.3,36.6662,train,2025-06-03 00:00:00,88.03,92925.39,19.8
60,P7906,2025/06/03 00:00,25.51,111.65,160.0,永州市,齐心,道县,21.66,91,987.1,20.3,45.2487,test,2025-06-03 00:00:00,79.4,96203.91,19.33
61,P8593,2025/06/03 00:00,25.51,112.38,256.0,郴州市,邓林,嘉禾县,21.66,95,979.6,19.6,41.3816,train,2025-06-03 00:00:00,78.0,95828.87,19.15
62,P8407,2025/06/03 00:00,25.51,112.65,696.0,郴州市,荷叶,桂阳县,18.64,100,929.9,16.4,44.2697,train,2025-06-03 00:00:00,79.64,95597.59,19.13
63,P7890,2025/06/03 00:00,25.52,111.7,181.0,永州市,白芒铺,道县,21.83,94,985.8,19.9,49.6649,train,2025-06-03 00:00:00,79.44,96217.07,19.34
64,P8598,2025/06/03 00:00,25.52,112.46,281.0,郴州市,泮头水库,嘉禾县,21.23,92,975.3,19.8,41.679,train,2025-06-03 00:00:00,78.82,95729.79,19.16
65,P8888,2025/06/03 00:00,25.52,112.76,1168.0,郴州市,太山里,北湖区,16.29,100,878.8,14.3,36.5361,test,2025-06-03 00:00:00,79.88,95648.83,19.15
66,P8772,2025/06/03 00:00,25.52,113.91,358.0,郴州市,热水,汝城县,22.25,97,967.6,19.7,35.4451,train,2025-06-03 00:00:00,95.02,93186.19,21.35
67,57965,2025/06/03 00:00,25.53,111.6,192.7,永州市,道县,道县,22.14,93,986.2,20.3,52.6,train,2025-06-03 00:00:00,79.49,96230.23,19.35
68,P8386,2025/06/03 00:00,25.53,112.8,1205.0,郴州市,十亩田,北湖区,16.18,100,875.1,14.2,36.8845,train,2025-06-03 00:00:00,79.9,95583.87,19.13
69,P8751,2025/06/03 00:00,25.53,113.37,475.7,郴州市,文明水库,汝城县,20.73,95,954,18.9,29.4227,train,2025-06-03 00:00:00,83.85,93359.19,18.76
70,P8086,2025/06/03 00:00,25.55,111.7,168.0,永州市,白马渡,道县,22.48,98,986.4,19.7,50.4257,test,2025-06-03 00:00:00,79.58,96256.55,19.38
71,P8383,2025/06/03 00:00,25.55,112.89,810.0,郴州市,永春,北湖区,18.04,92,918.4,17.2,23.6373,train,2025-06-03 00:00:00,79.93,95428.95,19.09
72,57985,2025/06/03 00:00,25.56,113.69,648.2,郴州市,汝城,汝城县,20.24,100,935.5,17.7,53.2,train,2025-06-03 00:00:00,87.9,92677.55,19.76
73,P8375,2025/06/03 00:00,25.57,112.72,342.0,郴州市,鲁塘,北湖区,20.77,94,968.3,19.1,45.5023,train,2025-06-03 00:00:00,80.04,95836.67,19.23
74,57974,2025/06/03 00:00,25.58,112.37,214.5,郴州市,嘉禾,嘉禾县,24.1,100,983.8,20.5,44.5623,train,2025-06-03 00:00:00,77.73,96352.83,19.38
75,P8234,2025/06/03 00:00,25.58,112.4,318.0,郴州市,车头,嘉禾县,20.81,93,972.5,19.3,44.0732,test,2025-06-03 00:00:00,78.05,96288.75,19.37
76,57966,2025/06/03 00:00,25.59,111.96,243.1,永州市,宁远,宁远县,21.93,91,980.2,20.5,52.7,train,2025-06-03 00:00:00,79.77,96309.19,19.44
77,P7963,2025/06/03 00:00,25.59,112.23,381.0,永州市,甘溪,蓝山县,20.9,90,963.2,19.9,45.7582,train,2025-06-03 00:00:00,76.37,96456.87,19.43
78,P8758,2025/06/03 00:00,25.59,113.63,633.0,郴州市,金宝,汝城县,20.09,95,937.7,18.4,39.4887,train,2025-06-03 00:00:00,86.71,92519.27,19.3
79,P8684,2025/06/03 00:00,25.6,112.71,362.0,郴州市,肖家山水库,桂阳县,21.17,97,967.2,18.9,46.1321,train,2025-06-03 00:00:00,80.14,95937.67,19.27
80,P8442,2025/06/03 00:00,25.61,113.04,350.6,郴州市,百丈,苏仙区,21.15,100,968.1,18.4,45.9601,test,2025-06-03 00:00:00,79.37,95167.63,18.97
81,P8762,2025/06/03 00:00,25.61,113.95,280.0,郴州市,集龙,汝城县,22.76,98,974.8,19.9,34.3865,train,2025-06-03 00:00:00,94.84,92961.19,21.31
82,P7888,2025/06/03 00:00,25.62,111.61,167.0,永州市,梅花,道县,21.32,89,986.2,20.4,41.9314,train,2025-06-03 00:00:00,79.91,96348.67,19.49
83,P8591,2025/06/03 00:00,25.62,112.28,284.0,郴州市,盘江水库,嘉禾县,21.73,93,975.7,20.0,47.8523,train,2025-06-03 00:00:00,76.14,96678.91,19.54
84,P8374,2025/06/03 00:00,25.62,112.93,490.6,郴州市,江口,北湖区,19.84,95,953,18.2,46.9614,train,2025-06-03 00:00:00,79.79,95567.43,19.14
85,P8768,2025/06/03 00:00,25.62,113.75,627.0,郴州市,永丰,汝城县,19.8,96,937.8,18.0,37.62,test,2025-06-03 00:00:00,88.32,92551.07,19.9
86,P8088,2025/06/03 00:00,25.64,111.37,281.0,永州市,仙子脚,道县,22.01,99,972,19.2,39.7387,train,2025-06-03 00:00:00,80.0,96374.99,19.52
87,P8352,2025/06/03 00:00,25.64,112.34,208.0,郴州市,石燕,嘉禾县,22.28,93,984.8,20.4,41.4326,train,2025-06-03 00:00:00,76.97,96762.51,19.59
88,P7783,2025/06/03 00:00,25.65,111.92,209.0,永州市,恩里,宁远县,21.27,91,982.4,20.0,42.1268,train,2025-06-03 00:00:00,80.05,96388.15,19.53
89,P8405,2025/06/03 00:00,25.65,112.65,331.9,郴州市,方元,桂阳县,22.8,100,970.4,19.6,54.3259,train,2025-06-03 00:00:00,80.23,96088.15,19.33
90,P8409,2025/06/03 00:00,25.65,112.73,263.7,郴州市,地界,桂阳县,22.11,97,978.2,19.6,42.4651,test,2025-06-03 00:00:00,80.39,96121.11,19.35
91,P7785,2025/06/03 00:00,25.66,112.13,396.6,永州市,太平,宁远县,22.24,100,962.7,19.2,59.924,train,2025-06-03 00:00:00,78.17,96486.59,19.54
92,P8384,2025/06/03 00:00,25.66,112.84,312.0,郴州市,月峰,北湖区,20.46,92,971.5,19.2,48.1639,train,2025-06-03 00:00:00,80.42,95939.39,19.29
93,P8092,2025/06/03 00:00,25.67,111.81,215.7,永州市,幕投,宁远县,21.53,91,982.9,20.2,49.9654,train,2025-06-03 00:00:00,80.14,96414.47,19.56
94,P8370,2025/06/03 00:00,25.67,112.99,215.0,郴州市,石盖塘,北湖区,23.37,100,982.3,20.0,48.5949,train,2025-06-03 00:00:00,79.08,95577.67,19.12
95,P8594,2025/06/03 00:00,25.68,112.49,199.6,郴州市,观音山水库,嘉禾县,21.83,94,985.1,19.9,35.869,test,2025-06-03 00:00:00,78.78,96814.51,19.67
96,P8889,2025/06/03 00:00,25.68,112.7,289.0,郴州市,黄沙坪,桂阳县,21.07,93,974.2,19.5,43.5878,train,2025-06-03 00:00:00,80.45,96213.87,19.39
97,P8433,2025/06/03 00:00,25.68,113.15,816.0,郴州市,五盖山,苏仙区,18.4,100,917.3,16.2,42.3801,train,2025-06-03 00:00:00,79.52,94903.99,18.86
98,P8494,2025/06/03 00:00,25.68,113.49,294.0,郴州市,黄草,资兴市,22.62,98,973.7,19.8,35.2557,train,2025-06-03 00:00:00,84.0,93279.39,18.82
99,P8353,2025/06/03 00:00,25.69,112.45,216.5,郴州市,乐塘,嘉禾县,23.42,99,982.5,20.2,50.5439,train,2025-06-03 00:00:00,78.33,96971.75,19.72
100,P7734,2025/06/03 00:00,25.7,111.64,315.0,永州市,塘于洞,双牌县,21.3,94,973.6,19.5,42.8852,test,2025-06-03 00:00:00,80.28,96453.95,19.6
101,P8350,2025/06/03 00:00,25.71,112.5,176.0,郴州市,茶坞,嘉禾县,22.3,96,988.3,19.9,46.5846,train,2025-06-03 00:00:00,78.82,97008.55,19.77
102,P8377,2025/06/03 00:00,25.71,112.88,314.0,郴州市,四清水库,北湖区,20.64,90,973.4,19.7,45.9376,train,2025-06-03 00:00:00,79.88,96002.35,19.3
103,P8682,2025/06/03 00:00,25.71,113.72,314.8,郴州市,文泉,汝城县,21.63,92,971.9,20.1,33.4336,train,2025-06-03 00:00:00,87.07,92234.63,19.4
104,P7781,2025/06/03 00:00,25.73,112.09,319.0,永州市,保安,宁远县,20.12,84,970.3,20.4,26.5264,train,2025-06-03 00:00:00,78.54,96728.47,19.72
105,P8483,2025/06/03 00:00,25.73,113.4,296.0,郴州市,高湾,资兴市,21.16,90,974.7,20.1,47.5403,test,2025-06-03 00:00:00,82.26,93877.03,18.79
106,P8769,2025/06/03 00:00,25.73,113.84,476.0,郴州市,红星,汝城县,20.55,93,953.9,19.1,28.0963,train,2025-06-03 00:00:00,89.65,92359.07,20.13
107,P8595,2025/06/03 00:00,25.74,112.4,201.0,郴州市,石市,嘉禾县,21.0,85,985.2,20.9,52.4717,train,2025-06-03 00:00:00,77.14,97284.19,19.89
108,P8396,2025/06/03 00:00,25.74,112.85,263.4,郴州市,北湖机场,北湖区,21.83,94,978,19.9,37.4044,train,2025-06-03 00:00:00,80.02,96182.47,19.37
109,57972,2025/06/03 00:00,25.74,112.98,368.6,郴州市,郴州,北湖区,20.91,97,966.4,18.7,46.1373,train,2025-06-03 00:00:00,78.89,95839.79,19.2
110,P8760,2025/06/03 00:00,25.74,113.66,422.2,郴州市,淇岭,汝城县,21.27,91,958.4,20.0,32.9838,test,2025-06-03 00:00:00,85.97,92581.31,19.21
111,P8233,2025/06/03 00:00,25.75,112.44,222.0,郴州市,芙蓉,嘉禾县,21.93,91,980.6,20.5,46.8023,train,2025-06-03 00:00:00,77.72,97321.67,19.91
112,57973,2025/06/03 00:00,25.75,112.72,329.8,郴州市,桂阳,桂阳县,19.75,84,971,20.1,50.9,train,2025-06-03 00:00:00,80.59,96577.67,19.55
113,P8385,2025/06/03 00:00,25.75,113.04,180.7,郴州市,物流园,北湖区,21.34,88,986.4,20.6,47.1287,train,2025-06-03 00:00:00,78.83,95639.15,19.12
114,P8387,2025/06/03 00:00,25.75,113.06,255.0,郴州市,海泉,北湖区,23.23,100,981.4,19.9,54.8745,train,2025-06-03 00:00:00,78.9,95548.35,19.09
115,P7855,2025/06/03 00:00,25.76,112.35,204.1,永州市,新隆,新田县,23.72,99,983.1,20.4,47.4698,test,2025-06-03 00:00:00,76.19,97352.95,19.93
116,P8323,2025/06/03 00:00,25.76,112.65,265.0,郴州市,平岗,桂阳县,20.87,91,977.6,19.7,39.4601,train,2025-06-03 00:00:00,79.89,96858.03,19.68
117,P8322,2025/06/03 00:00,25.77,112.8,217.6,郴州市,全义,桂阳县,21.66,91,984.4,20.3,37.0,train,2025-06-03 00:00:00,80.21,96451.71,19.49
118,P8604,2025/06/03 00:00,25.77,113.31,395.0,郴州市,青草,资兴市,22.06,95,965.2,19.9,57.5801,train,2025-06-03 00:00:00,80.56,94559.83,18.86
119,P7881,2025/06/03 00:00,25.78,111.44,335.0,永州市,上坝水库,道县,19.16,82,967.9,20.0,33.1898,train,2025-06-03 00:00:00,80.48,96200.31,19.49
120,P8314,2025/06/03 00:00,25.78,112.5,145.0,郴州市,飞仙,桂阳县,23.62,98,991.6,20.5,47.522,test,2025-06-03 00:00:00,78.64,97272.95,19.87
121,P8397,2025/06/03 00:00,25.78,112.92,284.0,郴州市,茶场,北湖区,23.08,100,975.9,19.8,52.1365,train,2025-06-03 00:00:00,79.06,96187.27,19.36
122,P8437,2025/06/03 00:00,25.78,113.06,192.0,郴州市,王仙岭,苏仙区,21.63,92,985.9,20.1,50.1569,train,2025-06-03 00:00:00,78.88,95802.99,19.22
123,P8259,2025/06/03 00:00,25.79,113.12,173.0,郴州市,观山洞,苏仙区,22.11,97,987.5,19.6,44.7337,train,2025-06-03 00:00:00,79.1,95615.47,19.16
124,P7850,2025/06/03 00:00,25.81,112.12,497.1,永州市,龙家大院,新田县,21.12,95,951.8,19.2,48.4387,train,2025-06-03 00:00:00,77.57,96305.19,19.44
125,P7837,2025/06/03 00:00,25.81,112.28,155.2,永州市,祖亭下,新田县,21.96,90,988.5,20.7,47.062,test,2025-06-03 00:00:00,75.02,97142.51,19.82
126,P7841,2025/06/03 00:00,25.81,112.33,163.0,永州市,程家,新田县,21.56,90,987.1,20.4,41.4949,train,2025-06-03 00:00:00,75.71,97323.59,19.9
127,P8440,2025/06/03 00:00,25.81,113.04,184.0,郴州市,苏仙岭,苏仙区,21.77,92,985.8,20.2,50.1289,train,2025-06-03 00:00:00,78.65,96165.87,19.39
128,P8411,2025/06/03 00:00,25.82,112.75,215.4,郴州市,樟市,桂阳县,21.77,92,983.1,20.2,36.5133,train,2025-06-03 00:00:00,80.11,96842.91,19.67
129,P8439,2025/06/03 00:00,25.82,113.1,202.0,郴州市,香山坪,苏仙区,23.51,100,985.7,20.1,55.1027,train,2025-06-03 00:00:00,79.0,95960.91,19.32
130,P7779,2025/06/03 00:00,25.83,111.99,247.4,永州市,柏家坪,宁远县,21.37,92,978.8,19.9,41.5373,test,2025-06-03 00:00:00,80.4,95667.91,19.18
131,P8435,2025/06/03 00:00,25.84,113.17,185.0,郴州市,望仙,苏仙区,22.94,100,988,19.7,50.2498,train,2025-06-03 00:00:00,79.25,95812.87,19.29
132,P7862,2025/06/03 00:00,25.86,112.21,200.0,永州市,五柳塘,新田县,22.16,96,984.2,19.8,44.6287,train,2025-06-03 00:00:00,75.57,96310.27,19.41
133,P7730,2025/06/03 00:00,25.87,111.72,610.0,永州市,上梧江,双牌县,19.61,100,939.7,17.2,58.7107,train,2025-06-03 00:00:00,80.35,95241.99,18.93
134,P8527,2025/06/03 00:00,25.89,113.38,353.9,郴州市,白廊,资兴市,19.83,87,969.1,19.6,46.7052,train,2025-06-03 00:00:00,81.77,95069.03,19.3
135,57971,2025/06/03 00:00,25.91,112.21,227.4,永州市,新田,新田县,23.91,98,982.7,20.7,51.1,test,2025-06-03 00:00:00,75.66,95934.47,19.22
136,P8246,2025/06/03 00:00,25.91,113.13,118.0,郴州市,飞天山,苏仙区,22.76,91,993,21.1,54.0802,train,2025-06-03 00:00:00,78.85,96614.79,19.69
137,P8540,2025/06/03 00:00,25.92,113.7,786.3,郴州市,青山,桂东县,20.73,86,920.6,20.5,37.6542,train,2025-06-03 00:00:00,88.88,90763.75,18.04
138,P7725,2025/06/03 00:00,25.93,111.73,157.7,永州市,塘底,双牌县,23.08,100,988.9,19.8,51.8289,train,2025-06-03 00:00:00,80.26,94603.11,18.55
139,P8545,2025/06/03 00:00,25.93,113.87,850.0,郴州市,大塘,桂东县,22.51,100,913,19.4,42.8302,train,2025-06-03 00:00:00,91.07,90390.15,18.8
140,P7803,2025/06/03 00:00,25.94,111.95,367.0,永州市,刘家坪,宁远县,21.03,90,970.8,20.0,46.4843,test,2025-06-03 00:00:00,80.25,94496.63,18.49
141,P8317,2025/06/03 00:00,25.94,112.62,245.0,郴州市,湘山,桂阳县,21.37,92,979.9,19.9,39.428,train,2025-06-03 00:00:00,78.28,97473.43,19.94
142,P8551,2025/06/03 00:00,25.94,113.95,774.6,郴州市,新坊,桂东县,21.8,91,922.1,20.4,36.6642,train,2025-06-03 00:00:00,90.58,90042.07,19.04
143,57962,2025/06/03 00:00,25.96,111.65,206.7,永州市,双牌,双牌县,23.37,100,984.8,20.0,50.9,train,2025-06-03 00:00:00,80.22,94283.67,18.37
144,P7745,2025/06/03 00:00,25.96,111.87,377.0,永州市,黄江源,双牌县,20.86,95,964.3,19.0,40.8014,train,2025-06-03 00:00:00,80.22,94283.67,18.37
145,P8413,2025/06/03 00:00,25.97,112.81,259.5,郴州市,洋市,桂阳县,23.51,100,978.1,20.1,49.3823,test,2025-06-03 00:00:00,78.11,97588.11,20.04
146,P8392,2025/06/03 00:00,25.97,113.05,161.0,郴州市,五里牌,苏仙区,21.91,86,989.6,21.4,56.9948,train,2025-06-03 00:00:00,77.6,97609.35,20.17
147,57981,2025/06/03 00:00,25.97,113.22,142.2,郴州市,资兴,资兴市,23.22,94,992,20.9,54.2,train,2025-06-03 00:00:00,79.33,96689.31,19.78
148,P8493,2025/06/03 00:00,25.97,113.45,311.0,郴州市,天鹅山,资兴市,23.23,100,971.5,19.9,54.8745,train,2025-06-03 00:00:00,84.28,94170.11,18.85
149,P7724,2025/06/03 00:00,25.98,111.86,365.0,永州市,麻江,双牌县,21.16,94,966.8,19.4,40.2922,train,2025-06-03 00:00:00,80.19,94070.71,18.24
150,P8390,2025/06/03 00:00,25.99,113.01,99.0,郴州市,栖凤渡,苏仙区,21.67,83,994.6,21.8,45.8602,test,2025-06-03 00:00:00,77.05,98013.03,20.36
151,P8681,2025/06/03 00:00,26.0,113.59,352.7,郴州市,团桥,资兴市,21.66,95,968.1,19.6,32.5761,train,2025-06-03 00:00:00,87.6,92155.99,18.2
152,P3918,2025/06/03 00:00,26.01,109.77,512.0,怀化市,陇城,通道侗族自治县,18.68,90,951.3,18.1,39.6916,train,2025-06-03 00:00:00,79.91,93974.63,18.18
