id,Station_Id_C,Datetime,Lat,Lon,Alti,City,Station_Name,Cnty,VAP,RHU,PRS,TEM,PWV,dataset
292,P8225,2025-06-03 20:00:00,26.56,113.32,155.0,郴州市,平背,安仁县,22.43,96,990.8,20.0,53.5686,train
293,P6476,2025-06-03 20:00:00,26.57,110.28,365.3,邵阳市,关峡,绥宁县,19.0,100,967.7,16.7,32.1468,train
294,P5819,2025-06-03 20:00:00,26.57,113.74,321.8,株洲市,厂江,茶陵县,20.29,99,970.9,17.9,39.9033,train
295,P6489,2025-06-03 20:00:00,26.58,109.9,416.0,邵阳市,东山,绥宁县,20.89,100,961.1,18.2,39.5432,test
296,P6954,2025-06-03 20:00:00,26.58,112.59,62.0,衡阳市,朱陂,常宁市,22.45,92,999.8,20.7,49.5417,train
297,P7230,2025-06-03 20:00:00,26.58,112.78,95.2,衡阳市,围塘,耒阳市,23.04,98,997.3,20.1,43.9153,train
298,57846,2025-06-03 20:00:00,26.59,110.14,382.0,邵阳市,绥宁,绥宁县,19.51,97,965.1,17.6,27.5702,train
299,P7644,2025-06-03 20:00:00,26.59,111.86,113.2,永州市,百花,祁阳市,22.59,86,994.7,21.9,47.0088,train
300,P7119,2025-06-03 20:00:00,26.59,112.32,86.1,衡阳市,粮市,祁东县,21.84,97,998.2,19.4,41.7195,test
301,P6567,2025-06-03 20:00:00,26.6,111.22,368.0,邵阳市,一渡水,新宁县,19.66,99,965.9,17.4,38.8325,train
302,P7226,2025-06-03 20:00:00,26.6,112.95,102.2,衡阳市,双泉,耒阳市,22.51,100,996.0,19.4,55.7375,train
303,P6532,2025-06-03 20:00:00,26.61,110.74,452.0,邵阳市,司马冲,武冈市,20.37,100,957.2,17.8,33.7238,train
304,P7612,2025-06-03 20:00:00,26.61,112.09,80.4,永州市,羊角塘,祁阳市,22.3,96,997.0,19.9,47.6467,train
305,P7164,2025-06-03 20:00:00,26.61,112.5,91.0,衡阳市,栗江,衡南县,22.25,97,994.7,19.7,57.5056,test
306,P7170,2025-06-03 20:00:00,26.61,112.57,59.8,衡阳市,松江,衡南县,22.25,97,998.0,19.7,48.6786,train
307,P8683,2025-06-03 20:00:00,26.61,113.34,129.5,郴州市,牌楼,安仁县,22.66,100,993.0,19.5,54.3448,train
308,P8330,2025-06-03 20:00:00,26.61,113.38,128.0,郴州市,新塘,安仁县,22.57,96,993.3,20.1,50.0135,train
309,P5839,2025-06-03 20:00:00,26.61,113.9,289.8,株洲市,苍背,炎陵县,22.37,100,975.4,19.3,46.5344,train
310,P6607,2025-06-03 20:00:00,26.62,110.47,388.7,邵阳市,西岩,城步苗族自治县,15.87,76,964.1,18.2,27.379,test
311,P7101,2025-06-03 20:00:00,26.62,112.17,82.2,衡阳市,鸟江,祁东县,23.09,97,997.3,20.3,50.2876,train
312,P7161,2025-06-03 20:00:00,26.62,112.9,114.0,衡阳市,江口,衡南县,23.38,97,995.4,20.5,48.0923,train
313,P6606,2025-06-03 20:00:00,26.63,110.58,456.8,邵阳市,威溪,城步苗族自治县,19.24,100,956.2,16.9,37.2388,train
314,P8206,2025-06-03 20:00:00,26.63,113.23,120.0,郴州市,洋际,安仁县,22.37,100,994.7,19.3,42.8665,train
315,P7505,2025-06-03 20:00:00,26.64,111.5,172.2,永州市,芦洪市,东安县,21.34,99,987.9,18.7,54.5237,test
316,P7187,2025-06-03 20:00:00,26.64,112.69,101.1,衡阳市,富高,衡南县,22.94,100,995.0,19.7,51.9437,train
317,P5816,2025-06-03 20:00:00,26.64,113.5,176.3,株洲市,花甲,茶陵县,23.37,100,986.6,20.0,59.2719,train
318,P3904,2025-06-03 20:00:00,26.65,109.38,617.2,怀化市,三锹,靖州苗族侗族自治县,19.35,95,940.0,17.8,36.2269,train
319,P6462,2025-06-03 20:00:00,26.65,110.44,457.5,邵阳市,金紫,城步苗族自治县,19.61,100,955.8,17.2,33.3273,train
320,P5865,2025-06-03 20:00:00,26.66,113.41,138.4,株洲市,洒水,茶陵县,22.16,96,991.1,19.8,54.257,test
321,P4205,2025-06-03 20:00:00,26.67,109.34,635.0,怀化市,塘款,靖州苗族侗族自治县,17.67,78,937.5,19.5,34.3479,train
322,P3901,2025-06-03 20:00:00,26.67,109.65,346.4,怀化市,坳上,靖州苗族侗族自治县,20.35,95,968.6,18.6,48.9048,train
323,P6477,2025-06-03 20:00:00,26.67,109.94,414.7,邵阳市,鹅公,绥宁县,19.55,96,962.3,17.8,31.2946,train
324,P7575,2025-06-03 20:00:00,26.67,111.57,158.0,永州市,普利桥,冷水滩区,21.82,100,989.8,18.9,50.382,train
325,P7210,2025-06-03 20:00:00,26.67,112.86,59.7,衡阳市,耒水公园,耒阳市,24.16,96,1000.6,21.2,44.4571,test
326,P5884,2025-06-03 20:00:00,26.67,113.58,111.3,株洲市,浪滩,茶陵县,19.74,85,993.8,19.9,25.9883,train
327,P5875,2025-06-03 20:00:00,26.67,113.82,198.2,株洲市,春风,茶陵县,18.42,86,984.5,18.6,34.1111,train
328,P6563,2025-06-03 20:00:00,26.68,110.92,470.0,邵阳市,安山,新宁县,19.24,100,956.1,16.9,38.0043,train
329,P5868,2025-06-03 20:00:00,26.68,113.66,120.2,株洲市,河坞,茶陵县,22.66,100,993.9,19.5,48.7812,train
330,P7163,2025-06-03 20:00:00,26.69,112.4,67.4,衡阳市,茅市,衡南县,22.71,99,996.7,19.7,57.2209,test
