id,Station_Id_C,time,Lat,Lon,Alti,City,Station_Name,Cnty,VAP,RHU,PRS,TEM,PWV,dataset
79,P8684,2025-06-03 00:00:00,25.6,112.71,362.0,郴州市,肖家山水库,桂阳县,21.17,97.0,967.2,18.9,46.1321,train
81,P8762,2025-06-03 00:00:00,25.61,113.95,280.0,郴州市,集龙,汝城县,22.76,98.0,974.8,19.9,34.3865,train
82,P7888,2025-06-03 00:00:00,25.62,111.61,167.0,永州市,梅花,道县,21.32,89.0,986.2,20.4,41.9314,train
83,P8591,2025-06-03 00:00:00,25.62,112.28,284.0,郴州市,盘江水库,嘉禾县,21.73,93.0,975.7,20.0,47.8523,train
84,P8374,2025-06-03 00:00:00,25.62,112.93,490.6,郴州市,江口,北湖区,19.84,95.0,953.0,18.2,46.9614,train
85,P8768,2025-06-03 00:00:00,25.62,113.75,627.0,郴州市,永丰,汝城县,19.8,96.0,937.8,18.0,37.62,train
86,P8088,2025-06-03 00:00:00,25.64,111.37,281.0,永州市,仙子脚,道县,22.01,99.0,972.0,19.2,39.7387,train
87,P8352,2025-06-03 00:00:00,25.64,112.34,208.0,郴州市,石燕,嘉禾县,22.28,93.0,984.8,20.4,41.4326,train
88,P7783,2025-06-03 00:00:00,25.65,111.92,209.0,永州市,恩里,宁远县,21.27,91.0,982.4,20.0,42.1268,train
89,P8405,2025-06-03 00:00:00,25.65,112.65,331.9,郴州市,方元,桂阳县,22.8,100.0,970.4,19.6,54.3259,train
91,P7785,2025-06-03 00:00:00,25.66,112.13,396.6,永州市,太平,宁远县,22.24,100.0,962.7,19.2,59.924,train
92,P8384,2025-06-03 00:00:00,25.66,112.84,312.0,郴州市,月峰,北湖区,20.46,92.0,971.5,19.2,48.1639,train
93,P8092,2025-06-03 00:00:00,25.67,111.81,215.7,永州市,幕投,宁远县,21.53,91.0,982.9,20.2,49.9654,train
94,P8370,2025-06-03 00:00:00,25.67,112.99,215.0,郴州市,石盖塘,北湖区,23.37,100.0,982.3,20.0,48.5949,train
95,P8594,2025-06-03 00:00:00,25.68,112.49,199.6,郴州市,观音山水库,嘉禾县,21.83,94.0,985.1,19.9,35.869,train
96,P8889,2025-06-03 00:00:00,25.68,112.7,289.0,郴州市,黄沙坪,桂阳县,21.07,93.0,974.2,19.5,43.5878,train
97,P8433,2025-06-03 00:00:00,25.68,113.15,816.0,郴州市,五盖山,苏仙区,18.4,100.0,917.3,16.2,42.3801,train
98,P8494,2025-06-03 00:00:00,25.68,113.49,294.0,郴州市,黄草,资兴市,22.62,98.0,973.7,19.8,35.2557,train
99,P8353,2025-06-03 00:00:00,25.69,112.45,216.5,郴州市,乐塘,嘉禾县,23.42,99.0,982.5,20.2,50.5439,train
101,P8350,2025-06-03 00:00:00,25.71,112.5,176.0,郴州市,茶坞,嘉禾县,22.3,96.0,988.3,19.9,46.5846,train
102,P8377,2025-06-03 00:00:00,25.71,112.88,314.0,郴州市,四清水库,北湖区,20.64,90.0,973.4,19.7,45.9376,train
103,P8682,2025-06-03 00:00:00,25.71,113.72,314.8,郴州市,文泉,汝城县,21.63,92.0,971.9,20.1,33.4336,train
104,P7781,2025-06-03 00:00:00,25.73,112.09,319.0,永州市,保安,宁远县,20.12,84.0,970.3,20.4,26.5264,train
105,P8483,2025-06-03 00:00:00,25.73,113.4,296.0,郴州市,高湾,资兴市,21.16,90.0,974.7,20.1,47.5403,train
106,P8769,2025-06-03 00:00:00,25.73,113.84,476.0,郴州市,红星,汝城县,20.55,93.0,953.9,19.1,28.0963,train
107,P8595,2025-06-03 00:00:00,25.74,112.4,201.0,郴州市,石市,嘉禾县,21.0,85.0,985.2,20.9,52.4717,train
108,P8396,2025-06-03 00:00:00,25.74,112.85,263.4,郴州市,北湖机场,北湖区,21.83,94.0,978.0,19.9,37.4044,train
109,57972,2025-06-03 00:00:00,25.74,112.98,368.6,郴州市,郴州,北湖区,20.91,97.0,966.4,18.7,46.1373,train
111,P8233,2025-06-03 00:00:00,25.75,112.44,222.0,郴州市,芙蓉,嘉禾县,21.93,91.0,980.6,20.5,46.8023,train
112,57973,2025-06-03 00:00:00,25.75,112.72,329.8,郴州市,桂阳,桂阳县,19.75,84.0,971.0,20.1,50.9,train
113,P8385,2025-06-03 00:00:00,25.75,113.04,180.7,郴州市,物流园,北湖区,21.34,88.0,986.4,20.6,47.1287,train
114,P8387,2025-06-03 00:00:00,25.75,113.06,255.0,郴州市,海泉,北湖区,23.23,100.0,981.4,19.9,54.8745,train
115,P7855,2025-06-03 00:00:00,25.76,112.35,204.1,永州市,新隆,新田县,23.72,99.0,983.1,20.4,47.4698,train
116,P8323,2025-06-03 00:00:00,25.76,112.65,265.0,郴州市,平岗,桂阳县,20.87,91.0,977.6,19.7,39.4601,train
117,P8322,2025-06-03 00:00:00,25.77,112.8,217.6,郴州市,全义,桂阳县,21.66,91.0,984.4,20.3,37.0,train
118,P8604,2025-06-03 00:00:00,25.77,113.31,395.0,郴州市,青草,资兴市,22.06,95.0,965.2,19.9,57.5801,train
119,P7881,2025-06-03 00:00:00,25.78,111.44,335.0,永州市,上坝水库,道县,19.16,82.0,967.9,20.0,33.1898,train
121,P8397,2025-06-03 00:00:00,25.78,112.92,284.0,郴州市,茶场,北湖区,23.08,100.0,975.9,19.8,52.1365,train
122,P8437,2025-06-03 00:00:00,25.78,113.06,192.0,郴州市,王仙岭,苏仙区,21.63,92.0,985.9,20.1,50.1569,train
123,P8259,2025-06-03 00:00:00,25.79,113.12,173.0,郴州市,观山洞,苏仙区,22.11,97.0,987.5,19.6,44.7337,train
124,P7850,2025-06-03 00:00:00,25.81,112.12,497.1,永州市,龙家大院,新田县,21.12,95.0,951.8,19.2,48.4387,train
125,P7837,2025-06-03 00:00:00,25.81,112.28,155.2,永州市,祖亭下,新田县,21.96,90.0,988.5,20.7,47.062,train
